spcID	IUCN
Acacia_baileyana	NE
Acacia_cyclops	NE
Acacia_dealbata	NE
Acacia_elata	NE
Acacia_implexa	NE
Acacia_karroo	LC
Acacia_longifolia	NE
Acacia_mearnsii	NE
Acacia_melanoxylon	NE
Acacia_paradoxa	NA
Acacia_podalyriifolia	NE
Acacia_pycnantha	NE
Acacia_saligna	NE
Acacia_subporosa	NE
Acacia_viscidula	NE
Acanthus_mollis	NA
Acer_negundo	NA
Achyranthes_aspera	NE
Acroceras_macrum	LC
Acrolophia_bolusii	VU
Acrolophia_capensis	LC
Acrolophia_lamellata	LC
Acrolophia_ustulata	VU
Acrosanthes_teretifolia	LC
Adenandra_uniflora	LC
Adenandra_villosa	Rare
Adenocline_pauciflora	LC
Adenocline_violaefolia	NA
Adenogramma_glomerata	LC
Adenogramma_lichtensteiniana	LC
Adenogramma_mollugo	LC
Adenogramma_rigida	CR_PE
Adiantum_aethiopicum	LC
Adiantum_capillis_-_veneris	NA
Adiantum_hispidulum	LC
Adiantum_poiretii	LC
Adiantum_raddianum	NE
Adromischus_hemisphaericus	LC
Afrocarpus_falcatus	LC
Agapanthus_africanus	LC
Agapanthus_preacox	NA
Agathelpis_dubia	LC
Agathelpis_nitida	Rare
Agathosma_bifida	LC
Agathosma_capensis	LC
Agathosma_ciliaris	LC
Agathosma_ciliata	LC
Agathosma_corymbosa	EN
Agathosma_glabrata	EN
Agathosma_hookeri	Rare
Agathosma_imbricata	LC
Agathosma_lanceolata	LC
Agathosma_pulchella	VU
Agathosma_serpyllacea	LC
Agathosma_tabularis	LC
Agave_americana	NE
Agave_sisalana	NE
Ageratina_adenophora	NE
Agrostis_avenacea	NE
Agrostis_bergiana	LC
Agrostis_lachnantha	LC
Agrostis_polypogonoides	LC
Ailanthus_altissima	NA
Aira_cupaniana	NE
Aizoon_paniculatum	LC
Aizoon_sarmentosum	LC
Albuca_canadensis	LC
Albuca_cooperi	LC
Albuca_flaccida	LC
Albuca_fragrans	LC
Albuca_imbricata	LC
Albuca_juncifolia	LC
Albuca_spiralis	LC
Alchemilla_capensis	LC
Alciope_tabularis	LC
Alectra_lurida	LC
Alectra_sessiliflora	LC
Alisma_plantago_-_aquatica	NA
Alnus_glutinosa	NA
Aloe_arborescens	LC
Aloe_commixta	VU
Aloe_maculata	LC
Aloe_succotrina	LC
Alternanthera_pungens	NE
Althenia_filiformis	LC
Amaranthus_deflexus	NE
Amaranthus_hybridus	NE
Amaranthus_lividus	NA
Amaranthus_muricatus	NE
Amaranthus_sicula	NA
Amaranthus_thunbergii	LC
Amaryllis_belladona	NA
Amauropelta_bergiana	LC
Ambrosia_artemisifolia	NA
Amellus_asteroides	LC
Amellus_capensis	VU
Ammi_majus	NA
Ammocharis_longifolia	LC
Ammophila_arenaria	NE
Amphithalea_ericifolia	CR
Amphithalia_imbricata	NA
Amsinckia_calycina	NE
Anagallis_arvensis	NE
Anagallis_foemina	NA
Anaxeton_arborescens	LC
Anaxeton_asperum	LC
Anaxeton_laeve	LC
Anaxeton_nycthemerum	LC
Androcymbium_capense	LC
Androcymbium_eucomoides	LC
Andropogon_eucomis	NA
Anemone_tenuifolia	LC
Anisodontea_biflora	LC
