comb	LocID	variable	PlotPres	SubPlotPres
1__Aristea_africana	1	Aristea_africana	0	4
1__Gladiolus_sp1	1	Gladiolus_sp1	0	3
1__Pentaschistis_rigidissima	1	Pentaschistis_rigidissima	0	2
1__Tetraria_eximia	1	Tetraria_eximia	0	11
10__Babiana_ambigua	10	Babiana_ambigua	0	1
10__Oxalis_sp2	10	Oxalis_sp2	0	1
13__Baeometra_uniflora	13	Baeometra_uniflora	0	1
14__Acacia_cyclops	14	Acacia_cyclops	0	1
14__Cyphia_bulbosa	14	Cyphia_bulbosa	0	2
15__Berkheya_armata	15	Berkheya_armata	0	1
15__Chrysanthemoides_monilifera	15	Chrysanthemoides_monilifera	0	1
16__Asparagus_sp1	16	Asparagus_sp1	0	1.1
16__Kedrostis_nana	16	Kedrostis_nana	0	3
16__Solanum_americanum	16	Solanum_americanum	0	0.1
17__Helichrysum_pandurifolium	17	Helichrysum_pandurifolium	0	1
17__Isolepis_sp1	17	Isolepis_sp1	0	5
18__Crassula_glomerata	18	Crassula_glomerata	0	27
18__Ifloga_ambigua	18	Ifloga_ambigua	0	15.1
18__Kedrostis_nana	18	Kedrostis_nana	0	2
2__Agapanthus_africanus	2	Agapanthus_africanus	0	2
2__Oxalis_sp2	2	Oxalis_sp2	0	3
2__Tetraria_sp1	2	Tetraria_sp1	0	1
2__Thesium_sp1	2	Thesium_sp1	0	1
21__Sonchus_oleraceus	21	Sonchus_oleraceus	0	1
23__Tetraria_sylvatica	23	Tetraria_sylvatica	0	1
24__Adenocline_pauciflora	24	Adenocline_pauciflora	0	4
24__Briza_maxima	24	Briza_maxima	0	65
24__Ehrharta_calycina	24	Ehrharta_calycina	0	10
24__Helichrysum_pandurifolium	24	Helichrysum_pandurifolium	0	1
25__Aspalathus_chenopoda	25	Aspalathus_chenopoda	0	1
28__Aspalathus_ericifolia	28	Aspalathus_ericifolia	0	2
28__Diosma_oppositifolia	28	Diosma_oppositifolia	0	1
28__Ehrharta_calycina	28	Ehrharta_calycina	0	2
28__Ehrharta_capensis	28	Ehrharta_capensis	0	9
28__Ficinia_bulbosa	28	Ficinia_bulbosa	0	2
28__Phylica_imberbis	28	Phylica_imberbis	0	1
29__Ehrharta_calycina	29	Ehrharta_calycina	0	5
29__Euclea_racemosa	29	Euclea_racemosa	0	1
29__Kedrostis_nana	29	Kedrostis_nana	0	1
29__Lactuca_serriola	29	Lactuca_serriola	0	5
29__Vellereophyton_dealbatum	29	Vellereophyton_dealbatum	0	2
3__Cannomois_virgata	3	Cannomois_virgata	0	29
3__Tritoniopsis_sp1	3	Tritoniopsis_sp1	0	1
30__Cliffortia_atrata	30	Cliffortia_atrata	0	0.1
30__Clutia_polygonoides	30	Clutia_polygonoides	0	3
30__Corymbium_glabrum	30	Corymbium_glabrum	0	3
30__Ficinia_filiformis	30	Ficinia_filiformis	0	15
30__Montinia_caryophyllacea	30	Montinia_caryophyllacea	0	9
30__Senecio_pinifolius	30	Senecio_pinifolius	0	1
33__Centella_affinis	33	Centella_affinis	0	1
34__Carpacoce_spermacocea	34	Carpacoce_spermacocea	0	10
34__Fern_sp3	34	Fern_sp3	0	0.1
34__Ficinia_angustifolia	34	Ficinia_angustifolia	0	5
35__Anaxeton_laeve	35	Anaxeton_laeve	0	2
35__Anthospermum_aethiopicum	35	Anthospermum_aethiopicum	0	5
35__Cassytha_ciliolata	35	Cassytha_ciliolata	0	0.1
35__Cliffortia_atrata	35	Cliffortia_atrata	0	6
35__Clutia_alaternoides	35	Clutia_alaternoides	0	5
35__Diosma_oppositifolia	35	Diosma_oppositifolia	0	1
