Original	Final
Anecorihza_pausiflora	Anecorihza_pausiflora
Areospernum_capens	Eriospermum_capense
Bolubini_sp_fat_stem	Bulbine_sp1
Cispilos_capensis	Cissampelos_capensis
Currumbrium_glabrum	Corymbium_glabrum
cyp_sp	cyp_sp
Cyp_sp_2007/345	Cyp_sp_2007/345
Erica_spp_08	Erica_spp_08
Erica_spp_09	Erica_spp_09
Erica_spp_2007/13	Erica_spp_2007/13
Erica_spp_2007/14	Erica_spp_2007/14
Erica_spp._01	Erica_spp._01
Erica_spp.02	Erica_spp.02
Erica_spp.03	Erica_spp.03
Erica_spp.04	Erica_spp.04
Erica_spp.05	Erica_spp.05
Erica_spp.06	Erica_spp.06
Erica_spp.07	Erica_spp.07
Gladiolus_spp_2007/	Gladiolus_spp_2007/
Hyperinnia_hirta	Hyparrhenia_hirta
Iridacea_bulb	Iridacea_bulb
Lachendorphia_paniculata	Wachendorfia_paniculata
Lexaton_levi	Anaxeton_laeve
Lichthente_lacera	Lichtensteinia_lacera
Lolusatra_murticulosa	Bolusafra_bituminosa
Mesemb_sp1	Mesemb_sp1
Mesemb_sp2	Mesemb_sp2
Mesemb_sp3	Mesemb_sp3
Mesemb_sp4	Mesemb_sp4
Mesemb_sp5	Mesemb_sp5
Mesemb_spp	Mesemb_spp
Mesemb_spp1	Mesemb_spp1
Mesemb_spp2	Mesemb_spp2
Mesemb_spp3	Mesemb_spp3
Mesemb_spp4	Mesemb_spp4
Mesemb_spp5	Mesemb_spp5
Mulraltea_sp1	Muraltia_sp1
Mulraltea_vanbergii	Muraltia_sp2
Nemesia_spp._2	Nemesia_sp1
Osteopurnum_polygon	Osteospermum_polygaloides
oxalis_spp_2	oxalis_spp_2
Panamosis_virgata	Cannomois_virgata
Pelargonium_spp_2	Pelargonium_spp_2
Pspedo_selago_spurria	Pseudoselago_spuria
Speudopentamerus_mecrantha	Pseudopentameris_macrantha
Spoedoselago_spuria	Pseudoselago_spuria
Spoedoselagus??	Pseudoselago
Terroselastrus_tricostidatus	Pterocelastrus_tricuspidatus
Tretrerius_sylvaticum	Tetraria_sylvatica
Tretrerria_salvatica	Tetraria_sylvatica
Tricogeini_ambigua	Ifloga_ambigua
Unknown_sp1	Unknown_sp1
Unknown_spp	Unknown_spp
Unknown_spp1	Unknown_spp1
Vygie_2007/	Vygie_2007/
vygie_sp	vygie_sp
Vygie_sp	Vygie_sp
Vygie_sp_2007/181	Vygie_sp_2007/181
Vygie_sp_2007/401	Vygie_sp_2007/401
weed	weed
Weed	Weed
Thin_round_sedge_2007/347	Thin_round_sedge_2007/347
Trachyandra_sp_flat_leaf_hairy_rosette	Trachyandra_sp_flat_leaf_hairy_rosette
Wide_leaf_sedge_2007/243	Wide_leaf_sedge_2007/243
Bulb_leafy_orchid	Bulb_leafy_orchid
Grass_cyp_2007/362	Grass_cyp_2007/362
Leafy_orchid_spp.	Leafy_orchid_spp.
Merx__tall_2007/410	Merx_tall_2007/410
Merx_tall_2007/410	Merx_tall_2007/410
Exotic_weed_2007/183	Exotic_weed_2007/183
Muraltia_sp_lime_green_4935	Muraltia_sp3
Restio_flaky_bract_200/381	Restio_flaky_bract_200/381
Struthiola_tiny_yellow_2007/168	Struthiola_sp1
Tetraria_light_brown_2007/383	Tetraria_microstachys
Osteospermum_cf_chrysanthemoides_incane_2007/43	Osteospermum_cf_chrysanthemoides_incane_2007/43
Mustard_seed_2007/119	Mustard_seed_2007/119
Tiny_irid_sp_2007/192	Tiny_irid_sp_2007/192
Aspalathus_ground_2007/386	Aspalathus_sp1
Aspalathus_sp_ground	Aspalathus_sp2
Asparagus_white_bark	Asparagus_white_bark
Avena_longhorn_2007/162	Avena_sp1
Elegia_tall_2007/411	Elegia_sp1
fern_2_2007/367	fern_2_2007/367
Fern_sp	Fern_sp
Fern_sp_2007/146	Fern_sp_2007/146
Fern_sp1	Fern_sp1
Iridaceae_bulb_2007/57	Iridaceae_bulb_2007/57
Moraea_big_fruit	Moraea_sp1
Oxalis_legume_sp	Oxalis_legume_sp
Oxalis_legume_sp.	Oxalis_legume_sp.
oxalis_pink_leaf	oxalis_pink_leaf
Oxalis_pink_leaf	Oxalis_pink_leaf
Oxalis_sp_pink	Oxalis_sp_pink
oxalis_thin_leaf	oxalis_thin_leaf
Oxalis_thin_leaf	Oxalis_thin_leaf
Pentameris_tiny_blom	Pentameris_sp1
Pentameris_tiny_flower	Pentameris_sp1
Pentashistis_minute_2007/126	Pentameris_sp1
Stoebe_grey_2007/80	Stoebe_sp1
Struthiola_tiny_yellow2007/168	Struthiola_sp1
Tetraria_broadleaf_2007/31	Tetraria_sp1
cuisti_capros	cuisti_capros
Ischryolepis_tufted_2007/382	Restio_sp1
Ischyrolepis_mottled_2007/133	Restio_sp2
Ischyrolepis_tufted_2007/382	Restio_sp1
Lepido_carpodendron	Protea_lepidocarpodendron
Grass_1_2007/349	Grass_1_2007/349
Grass_1_2007/405	Grass_1_2007/405
Grass_sp	Grass_sp
bulb_sp	bulb_sp
Bulb_sp	Bulb_sp
Bulb_sp_3	Bulb_sp_3
Bulb_sp1	Bulb_sp1
Bulb_sp2	Bulb_sp2
Unknown_bulb	Unknown_bulb
unknown_bulb__1	unknown_bulb__1
unknown_bulb_2	unknown_bulb_2
Avena_long_horn_2007/162	Avena_sp1
Othonna_proteiod	Othonna_sp1
Othonna_quinquidenta	Othonna_quinquedentata
Scancio_umbelatus	Senecio_umbellatus
Cinerea_geifolia	Cinerea_geifolia
Ast_shrub	Ast_shrub
Phycinia_bulbosa	Ficinia_bulbosa
Physcia_digitata?	Cyphia_digitata
Straethiolia_cilleata	Struthiola_ciliata
Chorysa_coma	Chrysocoma_sp1
Citirium_phycorni	Satyrium_sp1
Myraltea_vanbergia	Muraltia_sp2
Herminia_chiromia	Hermannia_sp1
Tritreria_sylvatica	Tetraria_sylvatica
Ericoid_shrub	Ericoid_shrub
Hermanthus_protinius	Haemanthus_sp1
Tritrearia_compur	Tetraria_compar
Aplocartha_flinata	Haplocarpha_lanata
Curdrostis_nana	Kedrostis_nana
Wildinovia_lamerata	Willdenowia_glomerata
Bobania_ambigua	Babiana_ambigua
Casania_cassiculata	Puccinellia_fasciculata
Ficina_small	Ficinia_sp1
Hordium_catharticum	Hordeum_geniculatum
Orchid_leaf	Orchid_leaf
Orsinia_pennelucea	Ursinia_paleacea
Pseudoselagus_spoedo	Pseudoselago_spuria
Romulae_larvae	Romulea_flava
Schoenozipium_grassulus	Schoenozipium_grassulus
Urcinia_paeliaceae	Ursinia_paleacea
Ercinia_paleacea	Ursinia_paleacea
Meraltea_thumbergii	Muraltia_thunbergii
Sythia_digitata	Cyphia_digitata
Agathelpis_africana	Agapanthus_africanus
Annual_spp	Annual_spp
Aspalathus_larcifolius	Aspalathus_laricifolia
Aspalathus_tenpoda	Aspalathus_chenopoda
Asparagus_cesparagoides	Asparagus_asparagoides
Bobartia_latifolia	Bobartia_latifolia
Capebolus_brevifolius	Capeobolus_brevicaulis
Casmanthe_ithipica	Chasmanthe_aethiopica
Chaenostoma_hirsuta	Chaenostoma_hispidum
Cliffortia_africana	Cliffortia_africana
Cliffortia_graminieus	Cliffortia_graminea
Cliffortia_tripinoides	Cliffortia_tripinoides
Cysticapnos_vivicareous	Cysticapnos_vesicaria
Dimorphotheca_ceca	Dimorphotheca_ceca
Ehrharta_grass	Ehrharta_sp1
Elegia_palaceae	Elegia_filacea
Elegia_stipulacea	Elegia_stipularis
Erica_abietina_avr_atrorosea	Erica_abietina_subsp._atrorosea
Erica_baccum	Erica_baccans
Euphorbia_scuberosa	Euphorbia_tuberosa
Fern	Fern
Ficinia_ehrhata	Ficinia_ehrhata
Ficinia_lanuginosa	Ficinia_lanuginosa
Ficinia_large	Ficinia_sp2
Ficinia_small	Ficinia_sp1
Ficinia_tinusima	Ficinia_tinusima
Gnidia_juniperi	Gnidia_juniperifolia
Haemanthus_coxinius	Haemanthus_coccineus
Hypodiscus_radiata	Hypodiscus_radiata
Iridaceae_bulb	Iridaceae_bulb
Leucospermum_conocarpohirsuta	Leucospermum_conocarpodendron
Lobelia_cetaceae	Lobelia_setacea
Lyperia_carva	Liparia_parva
Malvaceae_weed	Malvaceae_weed
Metalasia_digitata	Metalasia_digitata
Metalasia_niveum	Metalasia_niveum
Moraea_bigfruit	Moraea_sp1
Moraea_medium	Moraea_sp2
Moraea_small	Moraea_sp3
Moss_spp	Moss_spp
Nemesia_large	Nemesia_sp1
Oxalis_prescaparii	Oxalis_pes.caprae
Pelargonium_culluatum	Pelargonium_cucullatum
Protea_seedling	Protea_seedling
Pseudopentameris_hastifolius	Pseudopentameris_hastifolius
Roella_ampleoricorus	Roella_amplexicaulis
Roella_amplexicorus	Roella_amplexicaulis
Roella_large	Roella_sp1
Roella_small	Roella_sp2
Selago_lusceris	Selago_luxurians
Selago_luxurii	Selago_luxurians
Silene_bellidiflorus	Silene_bellidioides
silene_belloides	Silene_bellidioides
Silene_belloides	Silene_bellidioides
Stoebe_grey	Stoebe_sp1
Struthiola_argentium	Struthiola_argentea
Tarchonanthus_litioreus	Tarchonanthus_littoralis
Tarchonanthus_litoreus	Tarchonanthus_littoralis
Tetraria_involuta	Tetraria_involucrata
Tetraria_radiata	Tetraria_radiata
Tetraria_stipularis	Tetraria_stipularis
Trachyandra_thin	Trachyandra_sp1
Tritoniopsis_pink	Tritoniopsis_sp1
Helipterum_speciossiumum	Syncarpha_speciosissima
Helipterum_spessiossima	Syncarpha_speciosissima
Euryops_erithrina	Euryops_erithrina
Ischyrolepis_galdindiana	Restio_gaudichaudianus
Ischyrolepis_obtusus	Restio_sp3
memem_sp	Mesemb_sp
Mesem_sp	Mesemb_sp
Mesem_sp__2	Mesemb_sp2
mesem_sp_1	Mesemb_sp1
Mesem_sp_1	Mesemb_sp1
Mesem_sp_2007/208	Mesemb_sp5
Mesem_sp_3	Mesemb_sp3
Mesem_sp_4	Mesemb_sp4
Mesem_sp2	Mesemb_sp2
Morea_tall	Moraea_sp4
Wildenovia_lannamois?	Willdenowia_Cannamois
Tetraria_tall_2007/134	Tetraria_sp1
Romelae_sp	Romulea_sp1
Bobartia_indica_var_minor	Bobartia_indica
Bobartia_indica_var._minor	Bobartia_indica
