SpcID	Growth_Form	Life_span_	Dispersal	Seed_size	Regeneration	plant_height	time_to_first_flower	distribution	fire.recruiters	Mycorrhizal_status
Acacia_cyclops	t	p	v	b	s	b	3	e	fsg	VAM
Acacia_longifolia	t	p	v	b	s	b	3	e	fsg	NA
Acacia_mearnsii	t	p	v	b	s	b	3	e	fsg	NA
Acacia_melanoxylon	t	p	v	b	s	b	3	e	fsg	NA
Acacia_saligna	t	p	v	b	es	b	3	e	fsg	VAM
Acrolophia_capensis	b	p	p	NA	us	s	1	o	fsf	NA
Adenandra_villosa	e	p	p	b	s	s	2	re	fsg	NA
Adenocline_pauciflora	h	p	u	s	us	s	1	o	NA	NA
Agapanthus_africanus	b	p	u	b	us	s	1	re	n	NA
Agathosma_ciliaris	e	p	u	s	es	s	2	re	fsg	NA
Agathosma_imbricata	e	p	p	s	es	s	1	re	fsg	VAM
Agathosma_sp3	e	p	p	u	u	s	2	re	fsg	NA
Albuca_cooperi	b	p	w	s	us	s	1	o	n	NA
Albuca_flaccida	b	p	w	s	us	s	1	o	n	NA
Albuca_sp3	b	p	w	s	us	s	1	o	n	NA
Capelio_tabularis	o	p	w	s	es	s	1	re	fsf	NA
Alectra_sessiliflora	h	p	p	s	s	s	1	o	n	NA
Amphithalea_ericifolia	e	p	m	s	es	s	1	re	fsf	VAM
Anagallis_arvensis	h	a	p	s	s	s	1	e	n	VAM
Anaxeton_laeve	h	p	w	s	s	s	2	re	fsg	NA
Androcymbium_capense	b	p	v	NA	us	s	1	o	n	NA
Androcymbium_eucomoides	b	p	v	b	us	s	1	o	n	NA
Androcymbium_sp1	b	p	v	u	us	s	1	o	n	NA
Anisodontea_scabrosa	h	p	p	s	s	b	2	o	n	NA
Annesorhiza_grandiflora	b	p	w	s	us	s	1	re	NA	NA
Annesorhiza_macrocarpa	h	p	w	s	us	s	2	o	u	NA
Annual_sp1	h	a	p	s	s	s	1	o	u	NA
Anthospermum_aethiopicum	e	p	p	s	es	s	2	o	fsg	VAM
Anthospermum_galioides	e	p	p	s	s	s	1	o	fsg	NA
Anthospermum_sp2	e	p	p	s	s	s	2	o	u	NA
Apiaceae_sp1	h	p	p	s	us	s	1	re	u	NA
Apocynaceae_sp1	h	u	w	s	s	s	1	o	u	NA
Arctotheca_calendula	h	a	w	s	s	s	1	o	u	VAM
Argyrolobium_filiforme	e	p	p	u	us	s	1	re	NA	NA
Aristea_africana	b	p	w	NA	us	s	1	re	u	NA
Aristea_capitata	b	p	p	b	us	s	1	re	u	NA
Aristea_spiralis	b	p	u	b	us	s	1	re	u	NA
Aristea_sp2	b	p	u	u	us	s	1	re	u	NA
Aspalathus_sp2	e	p	p	u	u	s	2	o	fsg	NA
Aspalathus_sp3	e	p	p	u	u	s	2	o	fsg	NA
Aspalathus_sp4	e	p	p	u	u	s	2	o	fsg	NA
Aspalathus_capensis	e	p	p	b	s	b	2	le	fsg	NA
Aspalathus_cephalotes	e	p	p	u	s	s	2	re	fsg	NA
Aspalathus_chenopoda	e	p	p	b	s	b	2	re	fsg	NA
Aspalathus_ciliaris	e	p	p	b	s	s	2	re	fsg	NA
Aspalathus_cordata	h	p	p	u	s	s	2	re	fsg	NA
Aspalathus_divaricata	e	p	p	s	s	s	2	re	fsg	ABS
Aspalathus_ericifolia	e	p	p	s	s	s	2	re	fsg	NA
Aspalathus_forbesii	e	p	p	u	s	s	2	re	fsg	NA
Aspalathus_hispida	e	p	p	s	s	s	2	o	fsg	NA
Aspalathus_juniperina	e	p	p	b	s	s	2	re	fsg	NA
Aspalathus_laricifolia	e	p	p	b	s	s	2	re	fsg	NA
Aspalathus_linguiloba	e	p	p	b	s	s	2	re	fsg	NA
Aspalathus_microphylla	e	p	p	s	s	s	2	re	fsg	NA
Aspalathus_retroflexa	e	p	p	b	s	s	2	re	fsg	NA
Aspalathus_sp10	e	p	p	u	s	s	2	re	fsg	NA
Asparagus_africanus	e	p	v	s	es	s	1	o	u	NA
Asparagus_capensis	e	p	v	b	es	s	1	o	u	NA
Asparagus_lignosus	e	p	v	s	es	s	1	o	u	NA
Asparagus_lignosus	e	p	v	NA	es	s	1	o	u	NA
Asparagus_rubicundus	e	p	v	NA	es	s	1	o	u	NA
Asparagus_sp3	e	p	v	u	es	s	1	o	u	NA
Aspidoglossum_heterophyllum	h	p	w	s	s	s	1	o	u	NA
Astephanus_triflorus	h	p	w	s	s	s	2	o	u	NA
Asteraceae_sp1	u	u	u	u	u	u	u	u	u	NA
Asteraceae_sp3	u	u	u	u	u	u	u	u	u	NA
Athanasia_crithmifolia	o	p	w	NA	s	b	2	re	u	NA
Atriplex_semibaccata	h	p	v	b	s	s	2	e	u	VAM
Avena_barbata	g	a	p	NA	s	s	1	e	u	NA
Avena_fatua	g	a	p	NA	s	s	1	e	u	NA
Babiana_sp1	b	p	u	u	us	s	1	re	u	NA
Baeometra_uniflora	b	p	u	NA	us	s	1	re	u	NA
Berkheya_armata	o	p	w	NA	es	s	1	re	u	NA
Berkheya_barbata	o	p	w	s	es	s	1	re	u	NA
Berkheya_rigida	o	p	w	s	es	s	1	re	u	NA
Berzelia_lanuginosa	e	p	w	s	es	b	2	re	fsg	NA
Blechnum_capense	o	p	p	s	us	s	1	o	u	NA
Bobartia_filiformis	b	p	p	s	us	s	1	re	fsf	NA
Bobartia_gladiata	b	p	p	s	us	s	1	re	fsf	NA
Bobartia_indica	b	p	p	s	us	s	1	re	fsf	NA
Bobartia_indica	b	p	p	s	us	s	1	re	fsf	NA
Bobartia_sp2	b	p	p	u	us	s	1	re	fsf	NA
Fagelia_bituminosa	h	p	u	b	s	s	2	re	fsg	NA
Brachypodium_distachyon	g	a	p	NA	s	s	1	e	u	NA
Brassica_tournefortii	h	a	p	b	s	s	1	e	fsg	NA
Briza_minor	g	a	p	s	s	s	1	e	u	NA
Briza_maxima	g	a	p	s	s	s	1	e	u	NA
Bromus_diandrus	g	a	p	NA	s	s	1	e	u	NA
Bromus_pectinatus	g	a	p	b	s	s	1	e	u	VAM
Brunia_noduliflora	e	p	w	b	es	s	2	re	u	NA
Brunsvigia_orientalis	b	p	w	b	us	s	1	re	u	NA
Bulbine_lagopus	b	p	w	s	us	s	1	o	u	NA
Bulbine_sp3	b	p	w	u	us	s	1	o	u	NA
Caesia_contorta	b	p	m	b	us	NA	1	o	NA	NA
Campanulaceae_sp1	u	u	u	u	s	s	u	u	u	NA
Cannomois_virgata	g	p	m	b	us	b	2	re	fsg	NA
Capeobolus_brevicaulis	g	p	p	b	us	s	2	re	u	NA
Jordaaniella_dubia	h	a	w	b	us	s	1	re	u	NA
Carduus_tenuiflorus	h	u	w	s	s	s	1	e	u	NA
Carex_clavata	g	p	w	b	s	s	2	o	u	NA
Carpacoce_spermacocea	h	p	p	s	s	s	2	re	fsg	NA
Carpacoce_vaginellata	h	p	p	s	s	s	2	o	fsg	NA
Carpobrotus_edulis	h	p	v	s	s	s	2	o	n	ABS
Cassine_peragua	t	p	v	b	es	b	2	o	n	NA
Cassytha_ciliolata	h	p	v	b	s	s	2	o	n	NA
Catapodium_rigidum	g	a	p	s	s	s	1	e	n	NA
Centella_affinis	h	p	m	b	s	s	2	re	fsg	NA
Centella_fusca	h	p	m	NA	s	s	2	re	fsg	NA
Centella_glabrata	h	p	m	b	s	s	2	re	fsg	NA
Centella_macrocarpa	h	p	m	b	s	s	2	o	fsg	NA
Centella_sp1	h	p	m	u	s	s	2	o	fsg	NA
Centella_tridentata	h	b	m	s	s	s	1	o	fsg	NA
Centella_triloba	h	p	m	s	es	s	1	re	fsg	NA
Cerastium_capense	h	a	p	s	s	s	1	o	u	NA
Ceratandra_atrata	b	p	u	s	us	s	1	re	fsf	NA
Chasmanthe_aethiopica	b	p	p	b	us	s	1	o	u	NA
Cheilanthes_capensis	o	p	p	s	us	s	2	o	u	NA
Chenopodium_glaucum	h	b	p	s	s	s	1	e	u	NA
Chenopodium_mucronatum	h	b	p	s	s	s	1	e	u	NA
Chionanthus_foveolatus	t	p	v	b	es	b	2	o	n	NA
Chironia_jasminoides	h	p	NA	s	s	s	2	re	fsg	NA
Chironia_linoides	h	p	NA	b	s	s	2	o	u	NA
Chrysanthemoides_incana	o	p	v	b	s	s	2	o	n	VAM
Chrysanthemoides_monilifera	o	p	v	b	s	b	2	o	n	NA
Chrysitrix_capensis	g	p	m	b	s	s	2	re	u	NA
Chrysocoma_coma.aurea	h	p	w	s	s	s	2	re	u	NA
Cineraria_geifolia	h	p	w	s	s	s	2	o	fsg	VAM
Cissampelos_capensis	h	p	p	b	NA	s	2	o	u	NA
Cleretum_herrei	h	a	p	s	s	s	1	re	fsg	NA
Cleretum_sp1	h	a	p	s	s	s	1	re	fsg	NA
Cliffortia_atrata	e	p	m	b	s	s	2	re	fsg	NA
Cliffortia_falcata	e	p	m	s	s	s	2	re	fsg	NA
Cliffortia_filifolia	e	p	m	b	s	s	2	re	fsg	NA
Cliffortia_glauca	e	p	m	s	s	s	2	re	fsg	NA
Cliffortia_graminea	o	p	m	b	es	s	2	re	fsg	NA
Cliffortia_obcordata	e	p	m	s	s	s	2	re	fsg	NA
Cliffortia_polygonifolia	e	p	w	b	s	s	2	re	fsg	VAM
Cliffortia_ruscifolia	e	p	m	b	s	s	2	re	fsg	VAM
Cliffortia_sp6	e	p	m	b	s	s	2	re	fsg	NA
Cliffortia_stricta	e	p	p	s	s	s	2	re	fsg	NA
Clutia_alaternoides	o	p	p	s	es	s	2	o	u	VAM
Clutia_ericoides	e	p	m	b	es	s	2	o	u	NA
Clutia_polygonoides	o	p	m	b	es	s	2	re	u	NA
Clutia_sp1	o	p	u	u	es	s	2	o	u	NA
Coleonema_album	e	p	m	b	s	b	2	re	fsg	NA
Commelina_africana	h	p	NA	s	s	s	2	o	u	NA
Corymbium_africanum	b	p	w	b	us	s	1	o	fsf	NA
Corymbium_enerve	b	p	w	b	us	s	1	le	fsf	NA
Corymbium_glabrum	b	p	w	b	us	s	1	o	fsf	NA
Corymbium_sp1	b	p	w	b	us	s	1	o	fsf	NA
Cotula_sp1	h	u	w	s	s	s	1	o	u	NA
Cotula_turbinata	h	a	w	s	s	s	1	re	u	NA
Crassula_campestris	h	a	p	s	s	s	1	o	u	NA
Crassula_coccinea	h	p	p	s	s	s	2	re	u	NA
Crassula_decumbens	h	a	p	s	s	s	1	o	u	NA
Crassula_dichotoma	h	a	p	s	s	s	1	o	u	ABS
Crassula_fascicularis	h	p	p	s	s	s	2	re	u	NA
Crassula_glomerata	h	a	p	s	s	s	1	re	u	ABS
Crassula_nudicaulis	h	p	p	s	es	s	1	o	u	NA
Cullumia_setosa	o	p	m	b	s	s	2	re	fsg	NA
Cullumia_squarrosa	o	p	m	b	s	s	2	re	fsg	NA
Cuscuta_nitida	h	p	NA	s	s	s	2	re	n	NA
Cussonia_thyrsiflora	t	p	v	b	es	b	2	o	n	NA
Cyanella_hyacinthoides	b	p	m	s	us	s	1	o	u	VAM
Cyathocoma_hexandra	g	p	p	u	es	s	1	re	u	NA
Cymbopogon_marginatus	g	p	p	s	us	s	1	o	u	NA
Cynanchum_africanum	h	p	w	b	s	s	2	o	u	NA
Cynanchum_obtusifolium	h	p	w	b	us	s	1	o	u	NA
Cynodon_dactylon	g	p	p	s	us	s	1	o	u	NA
Cynosurus_echinatus	g	a	p	s	s	s	1	e	u	NA
Cyperaceae_sp3	g	u	u	u	us	s	2	u	u	NA
Cyperaceae_sp4	g	u	u	u	us	s	2	u	u	NA
Cyperaceae_sp8	g	u	u	u	us	s	2	u	u	NA
Cyperaceae_sp9	g	u	u	u	us	s	2	u	u	NA
Cyperaceae_sp10	g	u	u	u	us	s	2	u	u	NA
Cyperaceae_sp11	g	u	u	u	us	s	2	u	u	NA
Cyperus_denudatus	g	p	p	u	us	s	1	o	u	NA
Cyphia_bulbosa	b	p	p	s	us	s	1	re	fsf	NA
Datura_stramonium	h	a	p	s	s	s	1	e	n	NA
Diascia_elongata	h	a	w	s	s	s	1	re	u	NA
Diascia_sp1	h	a	u	u	s	s	1	re	u	NA
Diastella_divaricata	t	p	m	s	s	s	2	re	fsg	NA
Dilatris_pillansii	b	p	w	NA	us	s	1	re	u	NA
Dilatris_viscosa	b	p	w	b	us	s	1	re	u	NA
Dimorphotheca_nudicaulis	h	p	w	b	s	s	1	re	u	NA
Dimorphotheca_pluvialis	h	a	w	b	s	s	1	o	u	VAM
Diosma_hirsuta	e	p	m	b	es	s	2	re	fsg	NA
