Acacia_cyclops	Acacia_longifolia	Acacia_saligna	Acrosanthes_sp2	Adenandra_sp3	Adenandra_villosa	Agapanthus_africanus	Agathosma_capensis	Agathosma_ciliaris	Agathosma_imbricata	Microdon_dubius	Capelio_tabularis	Amphithalea_ericifolia	Anaxeton_laeve	Anagallis_arvensis	Annesorhiza_grandiflora	Anthospermum_aethiopicum	Eriospermum_capense	Aristea_africana	Aristea_sp1	Aristea_spiralis	Aspalathus_capensis	Aspalathus_chenopoda	Aspalathus_cordata	Aspalathus_divaricata	Aspalathus_ericifolia	Aspalathus_linguiloba	Asparagus_lignosus	Asparagus_rubicundus	Athanasia_crithmifolia	Babiana_ambigua	Berzelia_lanuginosa	Bobartia_indica	Bulbine_sp2	Fagelia_bituminosa	Bolusafra_bituminosa	Briza_maxima	Bulb_sp5	Bulb_sp4	Bulb_sp6	Cannomois_virgata	Carpobrotus_edulis	Cassytha_ciliolata	Chasmanthe_aethiopica	Cassine_peragua	Chrysanthemoides_monilifera	Chrysocoma_sp1	Chrysocoma_coma.aurea	Chionanthus_foveolatus	Chironia_sp2	Cissampelos_capensis	Cliffortia_atrata	Cliffortia_falcata	Cliffortia_filifolia	Cliffortia_polygonifolia	Cliffortia_sp2	Cliffortia_sp4	Cliffortia_sp5	Cliffortia_strobilifera	Clutia_alaternoides	Conyza_scabrida	Corymbium_africanum	Corymbium_glabrum	Crassula_fascicularis	Crassula_nudicaulis	Cullumia_setosa	Cyanella_hyacinthoides	Cymbopogon_marginatus	Cyperus_denudatus	Cyperus_thunbergii	Diastella_divaricata	Dilatris_pillansii	Dimorphotheca_nudicaulis	Diosma_hirsuta	Diosma_oppositifolia	Diospyros_glabra	Dipogon_lignosus	Disa_bracteata	Disa_sp1	Edmondia_sesamoides	Ehrharta_calycina	Ehrharta_ramosa	Ehrharta_rehmannii	Elegia_racemosa	Elegia_stipularis	Elytropappus_scaber	Ursinia_paleacea	Erepsia_sp5	Erepsia_anceps	Erepsia_bracteata	Erepsia_sp4	Erica_abietina	Erica_corifolia	Erica_viscaria	Erica_hirtiflora	Erica_muscosa	Erica_plukenetii	Erica_similis	Erica_sp8	Erica_sp18	Erica_subcapitata	Euphorbia_erythrina	Euphorbia_tuberosa	Euryops_abrotanifolius	Ficinia_angustifolia	Ficinia_bulbosa	Ficinia_deusta	Ficinia_sp9	Ficinia_nigrescens	Ficinia_oligantha	Ficinia_sp7	Ficinia_sp2	Ficinia_filiformis	Gladiolus_brevifolius	Haemanthus_coccineus	Haplocarpha_lanata	Helichrysum_indicum	Helichrysum_pandurifolium	Heliophila_sp3	Hellmuthia_membranacea	Hermannia_flammula	Hermannia_rudis	Hermannia_sp1	Hermannia_sp3	Hibiscus_aethiopicus	Holothrix_villosa	Hypodiscus_aristatus	Hypodiscus_willdenowia	Imperata_cylindrica	Indigofera_sp3	Indigofera_sp1	Indigofera_cytisoides	Restio_capensis	Restio_cincinnatus	Restio_gaudichaudianus	Restio_tenuissimus	Lachenalia_sp2	Lamiacea_sp1	Lampranthus_emarginatus	Lampranthus_sp3	Leucospermum_conocarpodendron	Orchid_sp9	Lachenalia_sp1	Protea_lepidocarpodendron	Leptospermum_laevigatum	Leucadendron_coniferum	Leucadendron_laureolum	Leucadendron_salignum	Lichtensteinia_lacera	Linum_africanum	Liparia_parva	Lobelia_comosa	Lobelia_setacea	Lobelia_parva	Lobelia_pinifolia	Macrostylis_villosa	Maytenus_oleoides	Geochloa_rufa	Merxmuellera_sp1	Tenaxia_stricta	Mesemb_sp7	Mesemb_sp2	Mesemb_sp1	Mesemb_sp3	Mesemb_sp4	Metalasia_brevifolia	Metalasia_compacta	Metalasia_muricata	Microdon_sp2	Mimetes_fimbriifolius	Montinia_caryophyllacea	Morea_sp1	Muraltia_heisteria	Muraltia_demissa	Muraltia_sp14	Muraltia_thunbergii	Myrsine_africana	Olea_capensis	Olea_exasperata	Orchid_sp2	Ornithogalum_sp1	Osteospermum_polygaloides	Colpoon_compressum	Othonna_quinquedentata	Oxalis_sp19	Oxalis_luteola	Oxalis_sp21	Oxalis_pes.caprae	Oxalis_sp13	Oxalis_sp2	Oxalis_sp5	Oxalis_sp9	Oxalis_sp15	Oxalis_sp26	Passerina_corymbosa	Pelargonium_capitatum	Pelargonium_cucullatum	Pelargonium_triste	Pellaea_sp1	Pennisetum_clandestinum	Pennisetum_macrourum	Pentaschistis_curvifolia	Pentaschistis_barbata	Pentaschistis_sp1	Pentaschistis_airoides	Pentaschistis_ampla	Persicaria_decipiens	Petalacte_coronata	Phylica_imberbis	Phylica_plumosa	Phylica_sp3	Hippia_sp1	Pinus_radiata	Platycaulos_compressus	Podalyria_sericea	Protea_nitida	Pseudopentameris_macrantha	Pseudoselago_spuria	Psoralea_pinnata	Pteridium_aquilinum	Rafnia_triflora	Restio_quadratus	Restio_sp1	Searsia_rosmarinifolia	Rhus_laevigata	Rhus_lucida	Rhus_rosmarinifolia	Rhus_tomentosa	Roella_amplexicaulis	Roella_ciliata	Roella_sp6	Roella_sp7	Roella_sp1	Romulea_flava	Ruschia_sarmentosa	Senecio_umbellatus	Epischoenus_gracilis	Selago_luxurians	Senecio_pinifolius	Serruria_villosa	Pseudoselago_sp1	Staberoha_cernua	Stenotaphrum_secundatum	Seriphium_cinereum	Stipagrostis_zeyheri	Struthiola_ciliata	Struthiola_dodecandra	Syncarpha_sp1	Syncarpha_sp2	Syncarpha_speciosissima	Syncarpha_vestita	Cyphia_digitata	Tarchonanthus_camphoratus	Pterocelastrus_tricuspidatus	Tetragonia_fruticosa	Tetraria_compar	Tetraria_eximia	Tetraria_fasciata	Tetraria_sylvatica	Thamnochortus_gracilis	Thamnochortus_lucens	Thamnochortus_fruticosus	Themeda_triandra	Thesium_funale	Thesium_sp2	Thesium_strictum	Trachyandra_tabularis	Trachyandra_sp4	Trachyandra_sp5	Trachyandra_sp6	Tetraria_sp13	Tetraria_sp14	Tetraria_sp9	Tribolium_hispidum	Tribolium_uniolae	Trichocephalus_stipularis	Tritoniopsis_antholyza	Tritoniopsis_sp1	Tritoniopsis_triticea	Typha_capensis	Viscum_capense	Vygie_sp3	Wachendorfia_paniculata	Wahlenbergia_capensis	Watsonia_borbonica	Watsonia_tabularis	Willdenowia_glomerata	Willdenowia_cannamois	Zantedeschia_aethiopica
21_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
21_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
