Original	Final_Laure_Names
Anecorihza_pausiflora	Unknown
Areospernum_capens	Unknown
Bolubini_sp_fat_stem	Unknown
Bolubini_sp_.fat_stem	Unknown
Cispilos_capensis	Unknown
Currumbrium_glabrum	Unknown
cyp_sp	Unknown
Cyp_sp_2007.345	Unknown
Erica_spp_08	Erica
Erica_spp_09	Erica
Erica_spp_2007.13	Erica
Erica_spp_2007.14	Erica
Erica_spp._01	Erica
Erica_spp.02	Erica
Erica_spp.03	Erica
Erica_spp.04	Erica
Erica_spp.05	Erica
Erica_spp.06	Erica
Erica_spp.07	Erica
Gladiolus_spp_2007.	Gladiolus
Hyperinnia_hirta	Hyparrhenia_hirta
Iridacea_bulb	Unknown
Lachendorphia_paniculata	Unknown
Lexaton_levi	Unknown
Lichthente_lacera	Unknown
Lolusatra_murticulosa	Unknown
Mesemb_sp1	Unknown
Mesemb_sp2	Unknown
Mesemb_sp3	Unknown
Mesemb_sp4	Unknown
Mesemb_sp5	Unknown
Mesemb_spp	Unknown
Mesemb_spp1	Unknown
Mesemb_spp2	Unknown
Mesemb_spp3	Unknown
Mesemb_spp4	Unknown
Mesemb_spp5	Unknown
Mulraltea_sp1	Unknown
Mulraltea_vanbergii	Unknown
N.A	Unknown
Nemesia_spp._2	Nemesia
Osteopurnum_polygon	Osteopermum
oxalis_spp_2	Oxalis
Panamosis_virgata	Unknown
Pelargonium_spp_2	Pelargonium
Pspedo_selago_spurria	Pseudoselago_spuria
Speudopentamerus_mecrantha	Unknown
Spoedoselago_spuria	Pseudoselago_spuria
Spoedoselagus..	Unknown
Terroselastrus_tricostidatus	Unknown
Tretrerius_sylvaticum	Unknown
Tretrerria_salvatica	Unknown
Tricogeini_ambigua	Unknown
Unknown_sp1	Unknown
Unknown_spp	Unknown
Unknown_spp1	Unknown
Vygie_2007.	Unknown
vygie_sp	Unknown
Vygie_sp	Unknown
Vygie_sp_2007.181	Unknown
Vygie_sp_2007.401	Unknown
weed	Unknown
Weed	Unknown
Thin_round_sedge_2007.347	Tahina
Trachyandra_sp_flat_leaf_hairy_rosette	Trachyandra
Wide_leaf_sedge_2007.243	Side
Bulb_leafy_orchid	Bulga
Grass_cyp_2007.362	Grias
Leafy_orchid_spp.	Leaoa
Merx__tall_2007.410	Murex
Merx_tall_2007.410	Murex
Exotic_weed_2007.183	Exomis
Muraltia_sp_lime_green_4935	Muraltia
Muraltia_sp_lime_green_.4935	Muraltia
Restio_flaky_bract_200.381	Restio
Struthiola_tiny_yellow_2007.168	Struthiola
Tetraria_light_brown_2007.383	Tetraria
Osteospermum_cf_chrysanthemoides_incane_2007.43	Osteospermum
Mustard_seed_2007.119	Muscari
Tiny_irid_sp_2007.192	Tina
Aspalathus_ground_2007.386	Aspalathus
Aspalathus_sp_ground	Aspalathus
Asparagus_white_bark	Asparagus
Avena_longhorn_2007.162	Avena
Elegia_tall_2007.411	Elegia
fern_2_2007.367	Feea
Fern_sp	Feea
Fern_sp_2007.146	Feea
Fern_sp1	Feea
Iridaceae_bulb_2007.57	Iridaceae
Moraea_big_fruit	Moraea
Oxalis_legume_sp	Oxalis
Oxalis_legume_sp.	Oxalis
oxalis_pink_leaf	Oxalis
Oxalis_pink_leaf	Oxalis
Oxalis_sp_pink	Oxalis
oxalis_thin_leaf	Oxalis
Oxalis_thin_leaf	Oxalis
Pentameris_tiny_blom	Pentameris
Pentameris_tiny_flower	Pentameris
Pentashistis_minute_2007.126	Pentaschistis
Stoebe_grey_2007.80	Stoebe
Struthiola_tiny_yellow2007.168	Struthiola
Tetraria_broadleaf_2007.31	Tetraria
cuisti_capros	Cuiete
Ischryolepis_tufted_2007.382	Ischyrolepis
Ischyrolepis_mottled_2007.133	Ischyrolepis
Ischyrolepis_tufted_2007.382	Ischyrolepis
Lepido_carpodendron	Lepia
Grass_1_2007.349	Grias
Grass_1_2007.405	Grias
Grass_sp	Grias
bulb_sp	Bulga
Bulb_sp	Bulga
Bulb_sp_3	Bulga
Bulb_sp1	Bulga
Bulb_sp2	Bulga
Unknown_bulb	Bulga
unknown_bulb__1	Bulga
unknown_bulb_2	Bulga
Avena_long_horn_2007.162	Avena_longa
Othonna_proteiod	Ottonia
Othonna_quinquidenta	Ottonia
Scancio_umbelatus	Scandia
Cinerea_geifolia	Cerea
Ast_shrub	Asta
Phycinia_bulbosa	Photinia
Physcia_digitata.	Physaria
Straethiolia_cilleata	Struthiola
Chorysa_coma	Chorisia
Citirium_phycorni	Camirium
Myraltea_vanbergia	Maltea
Herminia_chiromia	Hermannia
Tritreria_sylvatica	Trimeria
Ericoid_shrub	Ericoides
Hermanthus_protinius	Herreanthus
Tritrearia_compur	Tritomaria
Aplocartha_flinata	Aplocarya
Curdrostis_nana	Cedrostis
Wildinovia_lamerata	Willdenovia
Bobania_ambigua	Bonania
Casania_cassiculata	Casasia
Ficina_small	Ficinia
Hordium_catharticum	Hordeum
Orchid_leaf	Orchis
Orsinia_pennelucea	Corsinia
Pseudoselagus_spoedo	Pseudoselago
Romulae_larvae	Romulea
Schoenozipium_grassulus	Schoenoxiphium
Urcinia_paeliaceae	Uncinia
Ercinia_paleacea	Cercinia
Meraltea_thumbergii	Peraltea
Sythia_digitata	Sethia
Agathelpis_africana	Agathelpis
Annual_spp	Anna
Aspalathus_larcifolius	Aspalathus
Aspalathus_tenpoda	Aspalathus
Asparagus_cesparagoides	Asparagus
Bobartia_latifolia	Bobartia
Capebolus_brevifolius	Capeobolus
Casmanthe_ithipica	Chasmanthe
Chaenostoma_hirsuta	Chaenostoma
Cliffortia_africana	Cliffortia
Cliffortia_graminieus	Cliffortia
Cliffortia_tripinoides	Cliffortia
Cysticapnos_vivicareous	Cysticapnos
Dimorphotheca_ceca	Dimorphotheca
Ehrharta_grass	Ehrharta
Elegia_palaceae	Elegia
Elegia_stipulacea	Elegia
Erica_abietina_avr_atrorosea	Erica_abietina
Erica_baccum	Erica
Euphorbia_scuberosa	Euphorbia
Fern	Feea
Ficinia_ehrhata	Ficinia
Ficinia_lanuginosa	Ficinia
Ficinia_large	Ficinia
Ficinia_small	Ficinia
Ficinia_tinusima	Ficinia
Gnidia_juniperi	Gnidia
Haemanthus_coxinius	Haemanthus
Hypodiscus_radiata	Hypodiscus
Iridaceae_bulb	Iridaceae
Leucospermum_conocarpohirsuta	Leucospermum
Lobelia_cetaceae	Lobelia
Lyperia_carva	Lyperia
Malvaceae_weed	Malvaceae
Metalasia_digitata	Metalasia
Metalasia_niveum	Metalasia
Moraea_bigfruit	Moraea
Moraea_medium	Moraea
Moraea_small	Moraea
Moss_spp	Mossia
Moss_	Mossia
Nemesia_large	Nemesia
Oxalis_prescaparii	Oxalis
Pelargonium_culluatum	Pelargonium
Protea_seedling	Protea
Pseudopentameris_hastifolius	Pseudopentameris
Roella_ampleoricorus	Roella
Roella_amplexicorus	Roella
Roella_large	Roella
Roella_small	Roella
Selago_lusceris	Selago
Selago_luxurii	Selago
Silene_bellidiflorus	Silene
silene_belloides	Silene
Silene_belloides	Silene
Stoebe_grey	Stoebe
Struthiola_argentium	Struthiola
Tarchonanthus_litioreus	Tarchonanthus
Tarchonanthus_litoreus	Tarchonanthus
Tetraria_involuta	Tetraria
Tetraria_radiata	Tetraria
Tetraria_stipularis	Tetraria
Trachyandra_thin	Trachyandra
Tritoniopsis_pink	Tritoniopsis
Helipterum_speciossiumum	Helipterum
Helipterum_spessiossima	Helipterum
Euryops_erithrina	Euryops
Ischyrolepis_galdindiana	Ischyrolepis
Ischyrolepis_obtusus	Ischyrolepis
memem_sp	Megema
Mesem_sp	Megema
Mesem_sp__2	Megema
mesem_sp_1	Megema
Mesem_sp_1	Megema
Mesem_sp_2007.208	Megema
Mesem_sp_3	Megema
Mesem_sp_4	Megema
Mesem_sp2	Megema
Morea_tall	Morea
Wildenovia_lannamois.	Willdenovia
Tetraria_tall_2007.134	Tetrasida_tulla
Romelae_sp	Romulea
Bobartia_indica_var_minor	Bobartia_indica
Bobartia_indica_var._minor	Bobartia_indica
Erica_glabella_subsp_glabella	Erica_glabella
Leucospermum_conocarpodendron_subsp_hirta	Leucospermum_conocarpodendron
Moss	Mossia
Pteridium_aquilinum_ssp._aquil	Pteridium_aquilinum
Wahlenbergia_tenella_var._tenella	Wahlenbergia_tenella
Vicaria_carva	Vicia_carnea
Ceterium_sp_2007.405	Ctenium
Murlatea_sp1	Muraltia
Myraltea_sp2	Maltea
Tretreria_sp	Tetraria
Tretreria_sp1	Tetraria
Tritreria_sp_1	Trimeria
Helifila_sp	Helicilla
Psoracea_pinnata	Sorocea_pileata
Cotula_fillifolia	Cola_ficifolia
Treteria_sp_2	Treisteria
Treteria_sp2	Treisteria
Lamiacea	Laplacea
Elmuntia	Emurtia
Corymbium_africanum_subsp_scabridum_var_gramineum	Corymbium_africanum_subsp._scabridum
Asteraceae01	Asteliaceae
Asteraceae1	Asteliaceae
Hermanthus_sp	Herreanthus
Orchid_sp	Orchis
Orchid_sp_2007.118	Orchis
Orchid_sp_2007.185	Orchis
Orchid_sp_2007.212	Orchis
Orchid_sp_2007.387	Orchis
Orchid_sp_2007.95	Orchis
oxlis_sp2	Oxalis
Pillia_sp.	Billia
thanmonchortus_sp_2007.4	Thamnochortus
Ericoid	Ericoides
Ficicnia_sp	Ficinia
Hermanthus_coxineus	Haemanthus_coccineus
Tretreria_sylvaticum	Tetraria_sylvatica
Bulbania_sp1	Bubania
Colopsis_sp	Calopsis
Colopsis_sp_2007.215	Calopsis
Chyronia_sp	Achyronia
Edenandra_sp1	Adenandra
Tretraria_sen....	Tetraria
Athanasia_chrithmifolia	Athamanta_crithmifolia
Cannamois_vagata	Cannomois_virgata
Erics__hispidula_alive	Erica_hispidula
Erics__hispidula_.alive.	Erica_hispidula
Hemanthus_sp	Haemanthus
Indigofora_sp	Indigofera
Lechnalia.	Lachenalia
Peucadanum_sp_2007.155	Peucedanum
Triboliun_unioli	Tribolium_uniolae
Wildenovia_glomera	Willdenowia_glomerata
Helminthia_membranaceae	Hellmuthia_membranacea
Morea_tripatula	Moraea_tripetala
Pentachistis_sp	Pentaschistis
