SpcID	Growth_Form	Life_span_	Dispersal	Seed_size	Regeneration	plant_height	time_to_first_flower	distribution	fire-recruiters	Mycorrhizal_status
Lythrum_hyssopifolium	h	NA	p	s	NA	s	1	e	NA	NA
Ehrharta_villosa	g	p	NA	NA	us	s	1	re	fsf,fsg	ABS
Tetragonia_fruticosa	h	p	w	b	s	s	2	o	fsg	ABS
Thesium_strictum	h	p	m	b	s	s	NA	o	fsg	ABS
Thesium_densiflorum	h	p	m	b	s	s	2	re	fsg	ABS
Aspalathus_divaricata_ssp._divaricata	e	p	p	s	s	s	2	re	fsg	ABS
Hakea_sericea	t	p	w	b	s	b	NA	e	fss	ABS
Leucadendron_laureolum	t	p	w	b	s	b	NA	re	fss	ABS
Carpobrotus_edulis	h	p	v	s	s	s	2	o	n	ABS
Crassula_dichotoma	h	a	p	s	s	s	1	o	u	ABS
Silene_undulata_	h	p	NA	s	s	s	1	o	u	ABS
Galium_tomentosum	h	p	p	s	s	s	2	o	u	ABS
Crassula_glomerata	h	a	p	s	s	s	1	re	u	ABS
Metalasia_muricata	e	p	w	s	s	b	2	o	NA	ABS
Hebenstretia_dentata	h	a	p	b	s	s	NA	o	NA	ABS
Willdenowia_incurvata	g	p	m	b	us	s	NA	o	NA	ABS
Jordaaniella_dubia	h	a	p	s	s	s	2	re	NA	ABS
Zygophyllum_flexuosum	h	p	m	b	s	s	NA	re	NA	ABS
Manulea_tomentosa	h	p	p	s	NA	s	NA	re	NA	ABS
Themeda_triandra	g	p	p	b	us	s	1	o	fsf,fsg	ENDO
Widdringtonia_nodiflora	t	p	p	b	es	b	2	o	NA	ENDO
Olea_capensis	t	p	v	b	es	b	2	o	NA	ENDO
Erica_cerinthoides	e	p	p	s	es	s	NA	o	NA	ERIC
Inula_graveolens	h	p	w	s	s	s	1	e	n	u
Amphithalea_ericifolia	e	p	m	s	es	s	1	re	fsf	VAM
Ehrharta_calycina	g	b	p	s	es	s	1	o	fsf,fsg	VAM
Stipagrostis_zeyheri	g	p	p	s	es	s	1	o	fsf,fsg	VAM
Festuca_scabra	g	p	NA	s	us	s	1	o	fsf,fsg	VAM
Acacia_saligna	t	p	v	b	es	b	3	e	fsg	VAM
Acacia_cyclops	t	p	v	b	s	b	3	e	fsg	VAM
Anthospermum_aethiopicum	e	p	p	s	es	s	2	o	fsg	VAM
Cineraria_geifolia	h	p	w	s	s	s	2	o	fsg	VAM
Podalyria_calyptrata	t	p	m	b	es	b	2	o	fsg	VAM
Otholobium_fruticans	h	NA	p	b	es	s	NA	o	fsg	VAM
Podalyria_sericea	h	p	m	b	s	s	NA	o	fsg	VAM
Psoralea_pinnata	o	NA	p	b	es	b	NA	o	fsg	VAM
Agathosma_imbricata	e	p	p	s	es	s	1	re	fsg	VAM
Cliffortia_ruscifolia	e	p	m	b	s	s	2	re	fsg	VAM
Cliffortia_polygonifolia	e	p	w	b	s	s	2	re	fsg	VAM
Rafnia_angulata_	h	NA	p	s	NA	s	NA	re	fsg	VAM
Anagallis_arvensis	h	a	p	s	s	s	1	e	n	VAM
Chrysanthemoides_incana	o	p	v	b	s	s	2	o	n	VAM
Bromus_pectinatus	g	a	p	b	s	s	1	e	u	VAM
Atriplex_semibaccata	h	p	v	b	s	s	2	e	u	VAM
Dimorphotheca_pluvialis	h	a	w	b	s	s	1	o	u	VAM
Arctotheca_calendula	h	a	w	s	s	s	1	o	u	VAM
Cyanella_hyacinthoides	b	p	m	s	us	s	1	o	u	VAM
Tribolium_uniolae	g	p	p	s	us	s	1	o	u	VAM
Clutia_alaternoides	o	p	p	s	es	s	2	o	u	VAM
Zantedeschia_aethiopica	b	p	v	b	us	s	2	o	u	VAM
Montinia_caryophyllacea	o	p	p	b	us	b	2	o	u	VAM
Rhus_rosmarinifolia	o	p	v	b	es	s	2	re	u	VAM
Diospyros_glabra	t	p	v	b	es	b	2	re	u	VAM
Petalacte_coronata	h	p	w	s	s	s	2	e	NA	VAM
Ursinia_anthemoides	h	b	w	b	s	s	1	o	NA	VAM
Othonna_filicaulis	b	p	w	b	s	s	1	o	NA	VAM
Senecio_burchellii	h	b	w	s	s	s	1	o	NA	VAM
Helichrysum_cymosum	h	p	w	s	s	s	1	o	NA	VAM
Trachyandra_ciliata	b	p	p	b	us	s	1	o	NA	VAM
Othonna_digitata	b	p	w	b	us	s	1	o	NA	VAM
Wachendorfia_parviflora	b	p	w	b	us	s	1	o	NA	VAM
Ornithogalum_thyrsoides	b	p	w	NA	us	s	1	o	NA	VAM
Pelargonium_triste	b	p	w	NA	us	s	1	o	NA	VAM
Lobostemon_fruticosus	o	p	p	b	es	s	2	o	NA	VAM
Oedera_imbricata	h	p	w	s	s	s	2	o	NA	VAM
Nemesia_affinis	h	a	w	s	s	s	NA	o	NA	VAM
Torilis_arvensis	h	a	p	b	u	s	NA	o	NA	VAM
Passerina_vulgaris	e	p	p	s	s	b	NA	o	NA	VAM
Pelargonium_elongatum	h	a	w	b	s	s	1	re	NA	VAM
Lobelia_coronopifolia	h	a	p	s	s	s	1	re	NA	VAM
Felicia_tenella_ssp._Tenella	h	a	w	s	s	s	1	re	NA	VAM
Helichrysum_indicum	h	a	w	s	s	s	1	re	NA	VAM
Senecio_arenarius	h	a	w	s	s	s	1	re	NA	VAM
Senecio_elegans	h	a	w	s	s	s	1	re	NA	VAM
Trachyandra_tabularis	b	a	p	b	us	s	1	re	NA	VAM
Geissorhiza_aspera	b	p	p	s	us	s	1	re	NA	VAM
Hermannia_multiflora	h	NA	p	s	NA	s	1	re	NA	VAM
Staavia_radiata	e	p	m	s	es	s	2	re	NA	VAM
Roella_ciliata	h	b	p	NA	s	s	2	re	NA	VAM
Salvia_africana-caerula	o	p	p	b	p	b	2	re	NA	VAM
Salvia_chamelaeagnea	o	p	p	b	p	b	2	re	NA	VAM
Phylica_plumosa	e	p	m	b	s	s	NA	re	NA	VAM
Polygala_garcinii	h	p	m	b	s	s	NA	re	NA	VAM
Zaluzianskya_divaricata	h	a	p	b	s	s	NA	re	NA	VAM
Hebenstretia_repens	h	a	p	s	s	s	NA	re	NA	VAM
Phylica_ericoides	e	p	p	s	s	s	NA	re	NA	VAM
Senecio_repandus	h	p	w	s	s	s	NA	re	NA	VAM
Wahlenbergia_capensis	h	a	p	NA	s	s	NA	re	NA	VAM
Othonna_stenophylla	b	p	w	s	us	s	NA	re	NA	VAM
Muraltia_thunbergii	e	p	m	s	NA	s	NA	re	NA	VAM
Virgilia_oroboides	t	p	p	b	s	b	NA	re	NA	VAM
Microdon_glomeratum	h	NA	NA	NA	NA	s	NA	NA	NA	VAM
Corymbium_enerve	b	p	w	b	us	s	1	le	fsf	NA
