Altitude	Geology	Vegetation	Aliens	Site
Low	Granite	Fynbos	Invaded	15
Low	Granite	Fynbos	Invaded	12
Low	Granite	Fynbos	No_Aliens	32
Low	Granite	Fynbos	No_Aliens	11
Low	Granite	Fynbos	No_Aliens	14
Low	Granite	Fynbos	Cleared	13
Low	Granite	Fynbos	Cleared	20
Low	TMS	Fynbos	Invaded	33
Low	TMS	Fynbos	Invaded	28
Low	TMS	Fynbos	Invaded	24
Low	TMS	Fynbos	No_Aliens	23
Low	TMS	Fynbos	No_Aliens	26
Low	TMS	Fynbos	No_Aliens	30
Low	TMS	Fynbos	No_Aliens	44
Low	TMS	Fynbos	Cleared	25
Low	TMS	Fynbos	Cleared	48
Low	TMS	Wetland	Invaded	31
Low	TMS	Wetland	No_Aliens	21
Low	TMS	Wetland	No_Aliens	22
Low	Sand	Fynbos	Invaded	43
Low	Sand	Fynbos	Invaded	42
Low	Sand	Fynbos	No_Aliens	16
Low	Sand	Fynbos	No_Aliens	18
Low	Sand	Fynbos	Cleared	27
Low	Sand	Fynbos	Cleared	17
Low	Sand	Fynbos	Cleared	52
Low	Sand	Milkwoods	No_Aliens	29
Low	Sand	Milkwoods	No_Aliens	19
Med	Granite	Fynbos	Invaded	51
Med	Granite	Fynbos	Invaded	45
Med	Granite	Fynbos	No_Aliens	10
Med	TMS	Fynbos	Invaded	8
Med	TMS	Fynbos	Invaded	47
Med	TMS	Fynbos	Invaded	41
Med	TMS	Fynbos	Invaded	39
Med	TMS	Fynbos	No_Aliens	3
Med	TMS	Fynbos	No_Aliens	9
Med	TMS	Fynbos	No_Aliens	2
Med	TMS	Fynbos	No_Aliens	1
Med	TMS	Fynbos	No_Aliens	40
Med	TMS	Fynbos	Cleared	7
Med	TMS	Fynbos	No_Aliens	5
Med	TMS	Fynbos	No_Aliens	34
Med	Sand	Fynbos	Invaded	50
Med	Sand	Fynbos	No_Aliens	49
High	TMS	Fynbos	Invaded	4
High	TMS	Fynbos	No_Aliens	35
High	TMS	Fynbos	No_Aliens	46
High	TMS	Fynbos	No_Aliens	38
High	TMS	Fynbos	Cleared	6
High	TMS	Fynbos	No_Aliens	37
High	TMS	Fynbos	No_Aliens	36
