Acacia_cyclops	Acacia_saligna	Adenandra_sp	Adenandra_sp1	Adenandra_villosa	Agathosma_capensis	Agathosma_ciliaris	Agathosma_sp	Agathulpus_dubia	Alciope_tabularis	Amphithalae_ericifolia	Amphithalea_ericifolia	Androcimbium_ucomoides	Anexeton_laevae	Annersorhiza_hirsuta	Anthospermum_aethiopicum	Anthospernum_aethiopicum	Anthspermum_aethiopicum	Apiaceae_sp-adenocline	Aplocartha_flinata	Aristea_africana	Aristea_spiralus	Aspalalthus_capensis	Aspalalthus_divaricata	Aspalathus_capensis	Aspalathus_chenopoda	Aspalathus_divaricata	Aspalathus_divericata	Aspalathus_ericifolia	Aspalathus_liguilobia	Asparagus_compactus	Asparagus_sp	Asphalathus_devoricata	Babiana_ambigua	Berzelia_lanuginosa	Bobania_ambigua	Bolusafra_bituminosa	Briza_maxima	Bulb_sp	Bulb_sp_3	Bulb_sp1	Bulb_sp2	Bulbania_sp1	Cannamois_virgata	Cannomois_vargata	Cannomois_virgata	Carpobrotus_edulis	Casmanthe_aethiopica	Cassine_perugua	Cassytha_ciliolata	Cassytha_cilliolata	Centella_tridentata	Chorysa_coma	Chrysanthemoides	Chrysanthemoides_monolifera	Chrysocoma?_	Citirium_phycorni	Cliffortia_atrata	Cliffortia_falcata	Cliffortia_filifolia	Cliffortia_polygonifolia	Cliffortia_ruscifolia	Cliffortia_tripinoides	Clifortia_filifolia	Clutia_alarternoides	Coella_cilliata	Conyza_scabrida	Corymbium_africanum	Corymbium_glabrum	Crassula_fasicularis	Crassula_fasicularis_	Cullumia_setosa	Currumbrium_glabrum	Cyanella_hyacinthoides	Cyclopia_sp	Cymbopogon_marginatus	Cypha_digitata	Diastella_divericata	Diosma_oppisitifolia	Diospyros_glabra	Disa_braceata	Disparago_laxifolia	Edenandra_sp1	Edmondia_sesamoides	Edmondia_sessimoides	Ehrharta_calacina	Ehrharta_calicina	Ehrharta_calycina	Ehrharta_ramosa	Ehrharta_rehamanii_subsp_subspicata	Elegia_racemosa	Elegia_stipularis	Elmuntia	Elytropappus_scaber	Erepsia_sp	Erepsia_sp1	Erica_abietina	Erica_cerinthoides	Erica_corifolia	Erica_dicora	Erica_diosma	Erica_hirtiflora	Erica_muscosa	Erica_plukeneti	Erica_plukenetii	Erica_similis	Erica_sp_1	Erica_subcapitata	Euphorbia_erythrina	Euphorbia_scuberosa	Euphorbia_tuberosa	Euphorbia_turbirosa	Euryops_abrotanifolius	Ficicnia_sp	Ficina_nigrescens	Ficina_small	Ficinia_angustifolia	Ficinia_bulbosa	Ficinia_deusta	Ficinia_indica?	Ficinia_large	Ficinia_nigrescens	Ficinia_oligantha	Ficinia_secunda	Ficinia_small	ficinia_sp	Ficinia_sp	Ficinia_sp_1	Ficinia_sp1	Ficinia_tenuifolia	Ficinia_tinusima	Gazania_crebsiana	Gladiolus_brevifolius	Gladiolus_revifolius	Gnidia_juniperifolia	Helichrysum_dasyanthum	Helichrysum_indicum	Helichrysum_pangurifolium	Helichrysum_sp	Helminthia_membranaceae	Helmunthia_membranaceae	Hermannia_flamula	Hermannia_sp	Holothirx_villosa	Holothix_villosa	Holothrix_villosa	Holothrix_villosa_______	Hypochoeris_radicata	Hypodiscus_aristatus	Hypodiscus_wildenowia	Imperata_cylindrica	Indigofera	Indogofera_glomerata	Ischyrolepis_capensis	Ischyrolepis_cincinnata	Ischyrolepis_galdindiana	Ischyrolepis_tenuissima	Ischyrolepus_capensis	Lachenalia_sp	Lachenalia_sp.	Lachendorphia_paniculata	Lampranthus_emarginatus_?_	Leucadendron_laureolum	Leucadendron_salignum	Lexaton_levi	Liparia_parva	Lobelia_cetacea	Lobelia_cetaceae	Lobelia_pinifolia	Lobelia_setacea	Lyperia_carva	Macrostylis_villosa	Mariscus_thunbergii	Meraltea_thumbergii	Merxmuellera_stricta	Merxmulera_rufa	Mesem_sp	Mesem_sp_1	Mesem_sp2	Metalaisa_compacta	Metalasia_brevifolia	Metalasia_compacta	Metalasia_muricata	Metalasia_sp	Microdon_dubium	Mimetes_fibrifolius	Montinia	Montinia_caryophyllacea	Montinia_caryphyllaceae	Morea_sp	Mulraltea_sp1	Mulraltea_vanbergii	Muraltea_thumbergii	Muraltia_demissa	Murlatea_sp1	Myraltea_sp2	Olea_capensis	Olea_exasperata	Orchid_sp	Orsinia_pennelucea	Osteopermum_sp	Osteospernum_polyganoides	Osyris_compressa	Othonna_quiquidentata	Oxalis_legume_sp.	Oxalis_perperea	oxalis_pink_leaf	Oxalis_prescaparii	oxalis_sp	Oxalis_sp	oxalis_sp_1	Oxalis_sp_1	Oxalis_sp_2	Oxalis_sp_2_	Oxalis_sp_2_thin_leaf	Oxalis_sp_4	Oxalis_sp_5	Oxalis_sp_pink_	Oxalis_sp.	Oxalis_sp._3	Oxalis_sp._4	oxalis_sp1	Oxalis_sp1	Oxalis_sp2	Oxalis_sp2_	Oxalis_sp4	Oxalis_sp5	oxalis_thin_leaf	Oxalis_thin_leaf	oxlis_sp2	Panamosis_virgata	Passerina_corymbosa	Pelargnium_triste	Pelargonium_capitatum	Pelargonium_cuculatum	Pelargonium_cucullatum	Pelargonium_longifolium	Pelargonium_sp	Pelargonium_triste	Pennecetum_clandestynum	Pennisetum_macrourum	Pentachistis_airoides	Pentachistis_barbarta	Pentachistis_barbata	Pentachistis_sp	Pentaschistis_airodes	Pentaschistis_airoides	Pentaschistis_ampla	Pentaschistis_barbata	Petalacta_coronata	Phycinia_bulbosa	Phylica_imberbis	Phylica_plumosa	Phylica_sp	Phylica_sp_1	Physcia_digitata?	Platycaulos_compressus	Polygala	Protea_nitida	Pseudopentameris_macrantha	Pseudoselagus_spoedo	Pteridium_aquilinum	Restio_quadratus_?	Restio_sp	Rhus_laevigata	Rhus_lucida	Rhus_rosmarinifolia	Rhus_tomentosa	Roella_ampleoricorus	Roella_amplexicaulis	Roella_amplexicaulis_	Roella_amplexicorus	Roella_ciliata	Roella_cilliata	Roella_sp	Roella_sp1	Roella_sp2	Romelae_sp	Romulae_larvae	Romulya_plava	Schoenozipium_grassulus	Selago_luxurians	Selago_luxurii	Senecio_elegans	Senecio_umbellatus	Serruria_villosa	Speudopentamerus_mecrantha	Stipagrostis_zeyheri	Stoebe_cinerea	Stoebe_cynerea	Straethiolia_cilleata	Stripagrostis_zeyheri	Struthiola_ciliata	Struthiola_cilliata	Struthiola_dodecandra	Struthiolia_ciliata	Syphia_digitata	Sythia_digitata	Tarchonanthus_camphoratus	Tetragonia_fruticosa	Tetraria_compar	Tetraria_eximia	Tetraria_sylvatica	Thamnochortus_areanarius/lucins	Thamnochortus_areanaruis	Thamnochortus_areanaruis/lucins	Thamnochortus_arenarius	Thamnochortus_fruticosus	Thamnochortus_gracilus	Thamnochorus_gracilus	Thamnocortus_areanarius	Thamnocortus_arenarius	Thesium_funale	Thesium_sp	Thesium_sp_	Thesium_sp1	Thesium_strictum	Tracheandra_sp	Tracheandra_tabularis_?	Trachryandra_sp	Trachryandra_tabulare	Trachyandra_sp	Treteria_sp_2	Tretraria_eximia	Tretreria_salvatica	Tretreria_sp1	Tretreria_sylvaticum	Tretrerius_sylvaticum	Tretrerria_salvatica	Tribolium_uniolae	Tribolium_uniole	Triboliun_unioli	Trichocephalus_stipularis	Tricocephalus_stipularus	Tritoniopsis_antholyza	Tritoniopsis_sp	Tritoniopsis_triticea	Tritreria_sp_1	Tritreria_sylvatica	Trycocephalus_	Typha_capensis	Urcinia_paeliaceae	Vicaria_carva	Vygie_sp	Wachendorfia_paniculata	Wachendorphia_paniculata	Wastonia_borbonica	Watsonia_barbonica	Watsonia_borbonica	Watsonia_borbonira	Wildenovia	Wildenovia_glomerata	Wildenowia_glomerata	Willdenovia_glomerata
21.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.5.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0
21.5.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
