x	y	Site	Altitude	Geology	Vegetation	Aliens	All_burns	Burned_2000	Burned_2005	Burned_2008	Burned_2011	Burned_2012	Burned_2015	aspect30m	dem_remnant_30m	dem30m	elevation30m	indexgrid_landsat_30m	jan_solar_radiation30m	jul_solar_radiation30m	slope30m	Tmax_jan_mean30m	Tmin_jul_mean30m	topographicPositionIndex30m	veg_communities_cowling_remnant_30m	veg_communities_cowling30m	veg_national_remnant_30m	veg_national30m	veg_subtypes_remnant_30m	veg_subtypes30m	vegtypes
262323.5334	6224539.023	1	Med	TMS	Fynbos	No Aliens	1992, 2000, 2015	1	0	0	0	0	1	4.348300457	295.9442444	295.9442444	295.9442444	510630	8564.083008	3034.583252	0.189239711	26.75148201	8.804244041	-5.746557236	3	3	15	15	11	11	16
261620.7488	6224841.918	2	Med	TMS	Fynbos	No Aliens	2000, 2015	1	0	0	0	0	1	2.866099119	310.1948242	310.1948242	310.1948242	503866	8577	2056.75	0.275418013	27.39489937	8.695923805	3.405392647	3	3	15	15	11	11	16
262430.2631	6224578.711	3	Med	TMS	Fynbos	No Aliens	1992, 2000, 2015	1	0	0	0	0	1	4.679824352	326.9142456	326.9142456	326.9142456	509959	8444.25	3097.166748	0.461664468	27.25568008	9.311305046	34.64213181	3	3	15	15	11	11	16
259551.4863	6225513.902	4	High	TMS	Fynbos	Invaded	1974, 2000, 2015	1	0	0	0	0	1	2.976255417	535.427063	535.427063	535.427063	488295	8333.166992	2424	0.177558511	24.47923088	7.349550247	64.62805176	11	11	15	15	11	11	16
262241.6578	6224632.534	5	Med	TMS	Fynbos	No Aliens	2000, 2015	1	0	0	0	0	1	4.129408836	286.9676208	286.9676208	286.9676208	508605	8858.916992	3093.083252	0.105464846	27.00466347	8.638811111	-14.46568298	3	3	15	15	11	11	16
259471.763	6225823.27	6	High	TMS	Fynbos	Cleared	1979, 2000, 2015	1	0	0	0	0	1	2.700882435	560.4636841	560.4636841	560.4636841	481553	8704.25	2204.333252	0.247751117	25.35268593	7.169547558	39.23065567	11	11	15	15	11	11	16
261055.5715	6224066.068	7	Med	TMS	Fynbos	Cleared	1970, 1994, 2000, 2015	1	0	0	0	0	1	3.574790478	276.5150757	276.5150757	276.5150757	521371	8755	2441.75	0.201336041	28.27881432	8.475589752	-22.05010033	3	3	15	15	11	11	16
260513.7291	6223586.753	8	Med	TMS	Fynbos	Invaded	1970, 1984, 2000, 2015	1	0	0	0	0	1	1.657386065	254.7632751	254.7632751	254.7632751	532137	8867.583008	3224.833252	0.214192033	28.03287315	8.622713089	8.933434486	3	3	15	15	11	11	16
260574.0706	6223634.534	9	Med	TMS	Fynbos	No Aliens	1970, 1984, 1994, 2000, 2015	1	0	0	0	0	1	1.218720913	239.6032562	239.6032562	239.6032562	530791	8965.75	3618.5	0.194526151	28.25411415	8.607720375	-6.554431438	3	3	15	15	11	11	16
256442.3008	6226106.238	10	Med	Granite	Fynbos	No Aliens	1986, 2000, 2015	1	0	0	0	0	1	0.21558404	151.626358	151.626358	151.626358	475386	8705.166992	5194.333496	0.424715638	29.02613831	9.962723732	-5.355290413	3	3	15	15	6	6	16
256768.4553	6226392.15	11	Low	Granite	Fynbos	No Aliens	1990, 2000, 2011, 2015	1	0	0	1	0	1	5.489273071	119.9674377	119.9674377	119.9674377	468656	8495.333008	4781.416504	0.510325909	30.06618309	10.6729002	0.453360796	2	2	19	19	3	3	15
257651.729	6226365.56	12	Low	Granite	Fynbos	Invaded	1970, 1990, 1995, 2000, 2015	1	0	0	0	0	1	4.694234371	387.567688	387.567688	387.567688	469360	8778	3288.25	0.296227723	26.90088844	8.499997139	20.42155457	3	3	15	15	11	11	16
257292.0994	6227978.093	13	Low	Granite	Fynbos	Cleared	1978, 1990, 2000, 2015	1	0	0	0	0	1	5.225069046	67.84082794	67.84082794	67.84082794	432952	8578.083008	3294.25	0.193406567	29.55816841	10.24247169	-28.55265045	2	2	19	19	3	3	15
257467.8253	6227930.196	14	Low	Granite	Fynbos	No Aliens	1980, 1990, 2000, 2015	1	0	0	0	0	1	5.471994877	126.0603638	126.0603638	126.0603638	434306	8683.333008	3830.416748	0.317509532	29.5519619	10.17044449	-27.43538475	2	2	19	19	3	3	15
256684.7167	6228942.921	15	Low	Granite	Fynbos	Invaded	2000, 2015	1	0	0	0	0	1	4.545776844	75.18808746	75.18808746	75.18808746	411364	8168.5	2800.083252	0.513864517	31.41895103	10.8177309	-17.60633659	2	2	19	19	3	3	15
253940.2116	6217296.878	16	Low	Sand	Fynbos	No Aliens	2000	1	0	0	0	0	0	4.113667965	79.02003479	79.02003479	79.02003479	672784	8196.25	2142.5	0.3369008	29.09328461	10.34685135	-5.147881985	80	80	5	5	9	9	5
253987.2249	6217165.524	17	Low	Sand	Fynbos	Cleared	2000	1	0	0	0	0	0	4.236168385	74.43695068	74.43695068	74.43695068	676156	8150.083496	2371.333252	0.402694017	29.34972572	10.53041935	-3.29446888	80	80	5	5	9	9	5
255384.5165	6215774.398	18	Low	Sand	Fynbos	No Aliens	2000	1	0	0	0	0	0	3.351739407	34.63209152	34.63209152	34.63209152	707206	8919.833008	3047	0.061325315	29.15963936	10.04108334	-17.83217621	80	80	5	5	9	9	5
255389.5645	6215678.946	19	Low	Sand	Milkwoods	No Aliens	2000	1	0	0	0	0	0	3.360944748	34.64061737	34.64061737	34.64061737	709228	8895.583008	3086.416748	0.060018215	29.09632683	10.05392361	-13.72529125	80	80	5	5	9	9	5
257182.4119	6228052.351	20	Low	Granite	Fynbos	Cleared	1978, 1990, 2000, 2015	1	0	0	0	0	1	4.424183846	57.07061005	57.07061005	57.07061005	431600	8271.166992	2688.583496	0.456234217	30.4094696	10.745327	-28.26667404	2	2	19	19	3	3	15
260474.1596	6211456.427	21	Low	TMS	Wetland	No Aliens	2000, 2008	1	0	1	0	0	0	2.110490799	70.2303009	70.2303009	70.2303009	804432	8970.75	3237.666748	0.034109294	28.54932594	9.748877525	0.34957689	3	3	15	15	11	11	16
258765.5624	6212155.723	22	Low	TMS	Wetland	No Aliens	1986, 2000, 2008	1	0	1	0	0	0	3.630207777	11.827981	11.827981	11.827981	788873	8941.166992	3145.666748	0.044292323	29.32591057	10.17158508	-18.78442383	80	80	8	8	16	16	8
259207.4571	6212305.818	23	Low	TMS	Fynbos	No Aliens	2000, 2008	1	0	1	0	0	0	3.53831625	55.502285	55.502285	55.502285	785518	8343.666992	1749.583374	0.325028419	29.4589653	10.34750557	-26.64735794	3	3	15	15	11	11	16
257721.1408	6213217.222	24	Low	TMS	Fynbos	Invaded	2000	1	0	0	0	0	0	3.769479036	29.47050858	29.47050858	29.47050858	764574	8053.75	1680.666626	0.426552534	29.7940731	10.6920948	-36.5281601	3	3	15	15	9	9	16
257319.1899	6214097.916	25	Low	TMS	Fynbos	Cleared	1982, 2000, 2008	1	0	1	0	0	0	5.605862617	86.45827484	86.45827484	86.45827484	745015	8581.083008	4258.416504	0.474464417	30.54522705	10.68227959	-34.08577728	80	80	5	5	9	9	5
257257.1107	6214219.644	26	Low	TMS	Fynbos	No Aliens	1982, 2000, 2008	1	0	1	0	0	0	3.78589201	86.81156921	86.81156921	86.81156921	742317	7992.333496	1426.5	0.435347974	29.45167923	10.28613567	-52.30467224	80	80	5	5	9	9	5
259759.2259	6212067.132	28	Low	TMS	Fynbos	Invaded	2008	0	0	1	0	0	0	3.209136963	51.08053589	51.08053589	51.08053589	790928	8646.916992	2280.666748	0.224349901	29.47323036	10.15370655	-35.85313416	3	3	15	15	11	11	16
257508.0203	6213433.717	29	Low	Sand	Milkwoods	No Aliens	2000	1	0	0	0	0	0	4.074160099	20.98216057	20.98216057	20.98216057	759849	8107.416504	1929	0.407308429	30.00304222	10.68648911	-53.58048248	80	80	5	5	11	11	5
258691.6839	6212637.898	30	Low	TMS	Fynbos	No Aliens	2000, 2008	1	0	1	0	0	0	3.866886616	76.25683594	76.25683594	76.25683594	778087	8506.75	2192.833252	0.303886861	29.37205315	10.27194881	-9.58174324	3	3	15	15	11	11	16
261340.7048	6213340.767	31	Low	TMS	Wetland	Invaded	1994, 2000, 2008	1	0	1	0	0	0	3.592165709	251.1134033	251.1134033	251.1134033	761999	8987.833008	3088.833252	0.058727343	27.6590538	8.724184036	-5.905265331	3	3	15	15	11	11	16
257848.3337	6225303.812	32	Low	Granite	Fynbos	No Aliens	2000, 2015	1	0	0	0	0	1	3.288844585	153.6185913	153.6185913	153.6185913	492956	8629.333008	1999.333374	0.234098747	28.63943672	9.555135727	-23.0745163	10	10	19	19	8	8	15
257308.0633	6225064.842	33	Low	TMS	Fynbos	Invaded	1995, 2000, 2015	1	0	0	0	0	1	2.376535892	165.4659119	165.4659119	165.4659119	498330	8408.666992	2088	0.328599215	28.65668678	9.575914383	-34.71477509	10	10	19	19	8	8	15
259669.9494	6226401.796	34	Med	TMS	Fynbos	No Aliens	2000, 2015	1	0	0	0	0	1	0.624064803	460.7286072	460.7286072	460.7286072	468753	9150	3695.25	0.070631094	26.72213173	6.896272182	-32.31463623	3	3	15	15	11	11	16
258894.2938	6226234.002	35	High	TMS	Fynbos	No Aliens	1975, 2000, 2015	1	0	0	0	0	1	1.781424046	663.734375	663.734375	663.734375	472097	9041.416992	3247.583252	0.160054952	24.35985756	6.343604088	51.11021805	11	11	15	15	11	11	16
258840.0209	6226349.776	36	High	TMS	Fynbos	No Aliens	1975, 2000, 2015	1	0	0	0	0	1	1.817796111	668.7219849	668.7219849	668.7219849	470074	9038.833008	3180.916748	0.132717192	24.2524395	6.22347641	38.61163712	11	11	15	15	11	11	16
258471.5602	6227012.484	37	High	TMS	Fynbos	No Aliens	1990, 2000, 2015	1	0	0	0	0	1	6.060681343	697.4347534	697.4347534	697.4347534	454559	9235.75	3922.833252	0.098587878	24.12042618	6.327364922	21.64921761	11	11	15	15	11	11	16
258379.1729	6227013.201	38	High	TMS	Fynbos	No Aliens	1990, 2000, 2015	1	0	0	0	0	1	0.593539536	700.8330688	700.8330688	700.8330688	454556	9224.75	4060.916748	0.161494866	23.29277229	6.110287666	40.10890961	11	11	15	15	11	11	16
261388.5214	6213576.305	39	Med	TMS	Fynbos	Invaded	1994, 2000, 2008	1	0	1	0	0	0	1.261644602	262.3273926	262.3273926	262.3273926	756608	9052.666992	3478.083252	0.077831	27.38550758	8.562158585	-4.974693298	3	3	15	15	11	11	16
261356.0492	6213745.056	40	Med	TMS	Fynbos	No Aliens	1994, 2000	1	0	0	0	0	0	1.508862972	262.2877808	262.2877808	262.2877808	753237	9050	3386.5	0.040007357	27.22555733	8.515641212	0.176508889	3	3	15	15	11	11	16
260972.9057	6215209.083	41	Med	TMS	Fynbos	Invaded	1994, 2000	1	0	0	0	0	0	4.460348606	230.8839874	230.8839874	230.8839874	720199	8839.416992	3043.833252	0.205925673	28.33856583	9.206658363	-2.359648466	3	3	15	15	11	11	16
262221.4059	6216199.631	42	Low	Sand	Fynbos	Invaded	2000, 2012	1	0	0	0	1	0	0.697151899	85.53026581	85.53026581	85.53026581	697998	8579.916992	4725.166504	0.494575381	29.8760128	10.43959332	-31.86618423	3	3	15	15	11	11	16
261869.8292	6216218.477	43	Low	Sand	Fynbos	Invaded	2000	1	0	0	0	0	0	0.900427759	147.7783966	147.7783966	147.7783966	697312	8962.083008	4022.833252	0.236926258	28.67262268	9.613856316	-1.272538781	3	3	15	15	11	11	16
262251.7894	6214594.069	44	Low	TMS	Fynbos	No Aliens	2000	1	0	0	0	0	0	1.489067078	140.0848541	140.0848541	140.0848541	733721	8453.75	3209.583252	0.450692892	28.99121666	10.11022186	8.229005814	3	3	15	15	11	11	16
260502.4322	6233030.14	45	Med	Granite	Fynbos	Invaded	2000	1	0	0	0	0	0	0.821596801	NA	224.7996063	224.7996063	319827	8942.666992	4250.916504	0.280494899	28.37103462	9.1376791	-12.89732742	NA	2	NA	19	NA	8	NA
258888.6039	6228564.75	46	High	TMS	Fynbos	No Aliens	1970, 1990, 2000, 2015	1	0	0	0	0	1	2.5900774	878.3718262	878.3718262	878.3718262	420199	9081.166992	2961.25	0.109395765	22.55612183	5.077497005	70.48195648	1	1	15	15	11	11	16
261325.4397	6225969.039	47	Med	TMS	Fynbos	Invaded	1984, 2000, 2005, 2015	1	1	0	0	0	1	0.844798625	360.2954102	360.2954102	360.2954102	478244	8845.416992	4470.416504	0.366011918	27.01817131	8.736666679	34.76955032	3	3	15	15	11	11	16
260117.7087	6212073.219	48	Low	TMS	Fynbos	Cleared	2000, 2008	1	0	1	0	0	0	3.349107742	84.17505646	84.17505646	84.17505646	790266	8680.583008	2345.083252	0.196820647	29.05659294	9.964533806	-16.22175026	3	3	15	15	11	11	16
261991.5835	6215256.528	49	Med	Sand	Fynbos	No Aliens	2000	1	0	0	0	0	0	2.837176323	207.0912018	207.0912018	207.0912018	718885	8583.083008	2099.666748	0.254730433	28.0973053	9.316605568	2.81745863	3	3	15	15	11	11	16
261921.5031	6215291.751	50	Med	Sand	Fynbos	Invaded	2000	1	0	0	0	0	0	2.048790693	226.3188477	226.3188477	226.3188477	718208	8712.083008	2774.416748	0.240262091	27.86474991	9.18910408	15.47732925	3	3	15	15	11	11	16
260194.9272	6231490.026	51	Med	Granite	Fynbos	Invaded	2000	1	0	0	0	0	0	2.409486532	NA	327.5887146	327.5887146	354191	8143.666504	1957.833252	0.399268627	27.32349396	8.751173973	-13.01682758	NA	11	NA	15	NA	11	NA
255527.6858	6216083.375	52	Low	Sand	Fynbos	Cleared	1982, 2000, 2008	1	0	1	0	0	0	4.389148712	84.02119446	84.02119446	84.02119446	700471	8632	2820.25	0.28967607	29.53614616	10.24327374	-14.98650455	3	3	15	15	11	11	16
