id	site	plot	species	value	old_name	habitat	veg	aliens	alititude	soil
1	1	1.1	Acrolophia_lamellata	1		tms/gravel	fynbos	no	med	tms
2	1	1.1	Anthospermum_aethiopicum	1		tms/gravel	fynbos	no	med	tms
3	1	1.1	Bobartia_latifolia	1		tms/gravel	fynbos	no	med	tms
4	1	1.1	Cannamois_virgata	1		tms/gravel	fynbos	no	med	tms
5	1	1.1	Cliffortia_filifolia	1		tms/gravel	fynbos	no	med	tms
6	1	1.1	Cliffortia_stricta	1		tms/gravel	fynbos	no	med	tms
7	1	1.1	Clutia_polygonoides	1		tms/gravel	fynbos	no	med	tms
8	1	1.1	Cyphia_incisa	1	Cyphia_sp/11	tms/gravel	fynbos	no	med	tms
9	1	1.1	Diosma_oppisitifolia	1		tms/gravel	fynbos	no	med	tms
10	1	1.1	Elegia_racemosa	1		tms/gravel	fynbos	no	med	tms
11	1	1.1	Elytropappus_scaber	1		tms/gravel	fynbos	no	med	tms
12	1	1.1	Erica_cerinthoides	1		tms/gravel	fynbos	no	med	tms
13	1	1.1	Erica_mammosa	1		tms/gravel	fynbos	no	med	tms
14	1	1.1	Erica_sessiliflora	1		tms/gravel	fynbos	no	med	tms
15	1	1.1	Eriospermum_capens	1		tms/gravel	fynbos	no	med	tms
16	1	1.1	Euphorbia_tuberosa	1		tms/gravel	fynbos	no	med	tms
17	1	1.1	Gladiolus_spp_2007/	1		tms/gravel	fynbos	no	med	tms
18	1	1.1	Gnidia_pinifolia	1		tms/gravel	fynbos	no	med	tms
19	1	1.1	Hypodiscus_wildenowia	1		tms/gravel	fynbos	no	med	tms
20	1	1.1	Ischyrolepis_capensis	1		tms/gravel	fynbos	no	med	tms
21	1	1.1	Leucadendron_laureolum	1		tms/gravel	fynbos	no	med	tms
22	1	1.1	Leucospermum_conocarpodendron	1		tms/gravel	fynbos	no	med	tms
23	1	1.1	Mastersiella_digitata	1		tms/gravel	fynbos	no	med	tms
24	1	1.1	Merxmuellera_rufa	1		tms/gravel	fynbos	no	med	tms
25	1	1.1	Oxalis_versicolor	1		tms/gravel	fynbos	no	med	tms
26	1	1.1	Passerina_corymbosa	1		tms/gravel	fynbos	no	med	tms
27	1	1.1	Pelargonium	1		tms/gravel	fynbos	no	med	tms
28	1	1.1	Phylica_imberbis	1		tms/gravel	fynbos	no	med	tms
29	1	1.1	Rhus_lucida	1		tms/gravel	fynbos	no	med	tms
30	1	1.1	Rhus_tomentosa	1		tms/gravel	fynbos	no	med	tms
31	1	1.1	Senecio_triqueter	1		tms/gravel	fynbos	no	med	tms
32	1	1.1	Staavia_radiata	1		tms/gravel	fynbos	no	med	tms
33	1	1.1	Stoebe_aethiopica	1		tms/gravel	fynbos	no	med	tms
34	1	1.1	Tetraria_bromoides	1		tms/gravel	fynbos	no	med	tms
35	1	1.1	Trichocephalus_stipularis	1		tms/gravel	fynbos	no	med	tms
36	1	1.1	Wachendorfia_paniculata	1		tms/gravel	fynbos	no	med	tms
37	1	1.1	Watsonia_borbonica	1		tms/gravel	fynbos	no	med	tms
38	1	1.1	Ficinia_oligantha	1		tms/gravel	fynbos	no	med	tms
39	1	1.1	Haplocarpha_lanata	1		tms/gravel	fynbos	no	med	tms
40	1	1.1	Lichtensteinia_lacera	1		tms/gravel	fynbos	no	med	tms
41	1	1.1	Tetraria_compar	1	tetraria_sp/3	tms/gravel	fynbos	no	med	tms
	1	1.1	Tetraria_microstachys	1	Tetraria_sp_2007/10	tms/gravel	fynbos	no	med	tms
42	1	1.2	Erica_mammosa	1		tms/gravel	fynbos	no	med	tms
43	1	1.2	Maytenus_oleoides	1		tms/gravel	fynbos	no	med	tms
44	1	1.2	Osyris_compressa	1		tms/gravel	fynbos	no	med	tms
