Big_plot	plot	species
21	21.1	Conyza_scabrida
21	21.1	Psoraelia_pinata
21	21.1	Mariscus_thunbergii
21	21.1	Pennisetum_macrourum
21	21.2	Periscaria_decipiens
21	21.2	Zantedeschia_aethiopica
21	21.4	Anagellis_arvensis
21	21.4	Pentaschistis_ampla
21	21.4	Typha_capensis
21	21.4	Oxalis_sp.
21	21.6	Cliffortia_strobolifera
22	22.1	Berzelia_lanuginosa
22	22.1	Crassula_fasicularis
22	22.1	Cyperus_denudatus_?_(trangular_stemmed_sedge)
22	22.6	Cyperus_thunbergii
22	22.1	Ehrharta_rehamanii_subsp_subspicata
22	22.1	Erica_hirtiflora
22	22.3	Erica_sp
22	22.6	Ficinia_angustifolia
22	22.3	Imperata_cylindrica
22	22.1	Leucadendron_laureolum
22	22.1	Metalasia_muricata
22	22.2	Merxmuellera
22	22.6	Morea_sp
22	22.2	Oxalis_legume_sp
22	22.3	Passerina_corymbosa
22	22.4	Pelargonium_cucullatum
22	22.2	Pennisetum_macrourum
22	22.5	Pentachistis_sp
22	22.6	Platycaulos_compressus
22	22.1	Pteridium_aquilinum
22	22.1	Restio_quadratus_?
22	22.3	Restio_sp
22	22.1	Schoenozipium_grassulus
22	22.4	Stenotaphron_secondatum
23	23.1	Acacia_saligna
23	23.1	Alciope_tabularis
23	23.1	Amphithalae_ericifolia
23	23.1	Anexeton_laevae
23	23.1	Anthospernum_aethiopicum
23	23.2	Aspalathus_capensis
23	23.1	Aspalathus_divaricata
23	23.3	Aspalathus_linguilobia
23	23.2	Aspalathus_tenpoda
23	23.4	Babiana_ambigua
23	23.1	Bolusafra_bituminosa
23	23.1	Cannamois_virgata
23	23.1	Cassine_peragua
23	23.1	Cassytha_cilliolata
23	23.1	Chasmanthe_aethiopica
23	23.1	Chrysocoma_?
23	23.2	Crassula_fasicularis
23	23.1	Cullumia_setosa
23	23.1	Diospyros_glabra
23	23.6	Dipogon_lignosis
23	23.5	Edmondia_sesamoides
23	23.1	Elegia_racemosa
23	23.4	Elegia_stipularus
23	23.1	Elytropappus_scaber
23	23.4	Erepsia_sp
23	23.3	Erepsia_anceps
23	23.1	Erica_abietina
23	23.4	Erica_corifolia
23	23.2	Erica_muscosa
23	23.3	Erica_plukenetii
23	23.1	Erica_similis
23	23.2	Erica_sp.
23	23.2	Erica_subcapitata
23	23.1	Ficinia_large
23	23.4	Ficinia_nigrescens
23	23.1	Ficinia_small
23	23.2	Hypodiscus_aristatus
23	23.3	Indigofera_sp
23	23.4	Ischyrolepis_capensis
23	23.1	Ischyrolepis_cincinnata
23	23.3	Lachenalia_sp
23	23.1	Leucadendron_laureolum
23	23.4	Leucadendron_salignum
23	23.1	Leucospernum_conocarpodendron
23	23.6	Lexaton_levi
23	23.1	Liparia_parva
23	23.3	Lobelia_cetacea
23	23.5	Lyperia_carva
23	23.1	Maytenus_oleoides
23	23.5	Metalasia_compacta
23	23.3	Microdon_dubius
23	23.1	Mimetes_fimbrifolius
23	23.2	Olea_capensis_
23	23.4	Osteospernum_poligoloides
23	23.1	Othonna_quiquidentata
23	23.1	Oxalis_sp
23	23.1	Pelargonium_cucullatum
23	23.3	Pellaea_sp
23	23.1	Phylica_imberbis
23	23.1	Pseudopentameris_macrantha
23	23.1	Rhus_lucida
23	23.1	Roella_amplexicaulis
23	23.3	Roella_ciliata
23	23.2	Senecio_umbellatus
23	23.1	Stoebe_cinerea
23	23.4	Struthiola_ciliata
23	23.3	Stuthiola_dodecandra
23	23.2	Syncarpha_vestita
23	23.1	Tetraria_eximia
23	23.1	Thamnochortus_arenarius
23	23.4	Thamnochortus_fruticosus
23	23.6	Thesium_sp
23	23.1	Thesium_strictum
23	23.1	Tracheandra_tabularus_?
23	23.1	Tritoniopsis_triticea
23	23.5	Treteria_sp2
23	23.5	Ursinia_paleacea
25	25.1	Stripagrostis_zeyheri
25	25.1	Passerina_corymbosa
25	25.1	Acacia_cyclops
25	25.1	Aspalathus_ericifolia
25	25.1	Aspalathus_chenpoda
25	25.1	Bolusafra_bituminosa
25	25.1	Cassytha_ciliolata
25	25.1	Chrysanthemoides_monolifera
25	25.1	Euphorbia_erythrina
25	25.1	Roella_ciliata
25	25.1	Thesium_strictum
25	25.1	Lampranthus_emarginatus_?_
25	25.1	Ficinia_nigrescens
25	25.1	Hermannia_rudis
25	25.1	Hermannia_flamula?
25	25.1	Hibiscus_aethiopicus
25	25.1	Ischyrolepis_capensis
25	25.1	Olea_capensis
25	25.1	Pelargonium_cucullatum
25	25.1	Struthiola_ciliata
25	25.1	Trichocephalus_stipularis_
25	25.1	Microdon_dubia
25	25.2	Acacia_saligna
25	25.2	Anthospernum_aethiopicum
25	25.2	Bobartia_indica
25	25.2	Chasmanthe_aethiopica
25	25.2	Elytropappus_scaber
25	25.2	Metalasia_muricata
25	25.2	Lamiacea
25	25.2	Passerina_corymbosa
25	25.2	oxalis_sp
25	25.2	Pelargonium_triste
25	25.2	Rhus_lucida
25	25.2	Tarchonanthus_camphoratus
25	25.2	Themeda_triandra
25	25.2	Babiana_ambigua
25	25.2	Othonna_quiquidentata
25	25.2	Leafy_orchid_spp.
25	25.3	Pseudopentameris_macrantha
25	25.3	Cliffortia_filifolia?
25	25.4	Cispilos_capensis
25	25.5	Lepido_carpodendron
25	25.5	Syncarpha_sp
25	25.6	Ficinia_deusta
25	25.6	Thamnochortus_lucens_
25	25.6	Helifila_sp
25	25.6	Corymbium_glabrum
25	25.6	Euphorbia_tuberosum
25	25.1	Cymbopogon_marginatus
25	25.1	Euryops_abrotanifolius
28	28.1	Acacia_saaligna
28	28.1	Aspalathus_ericifolia
28	28.1	Chrysocoma_coma-aurea
28	28.1	Chrysanthemoides_monolifera
28	28.1	Elytropappus_scaber
28	28.1	Erica_similis
28	28.1	Ehrharta_ramosa
28	28.1	Ficinia_nigrescence
28	28.1	Helichrysum_pandurifolium
28	28.1	Ischyrolepis_capensis
28	28.1	Leptospermum_Laevigatum_
28	28.1	Macrostylis_villosa
28	28.1	Merxmuellera_stricta
28	28.1	Metalasia_muricata
28	28.1	Muraltia_histeria
28	28.1	Osyris_compressa
28	28.1	Othonna_quiquidentata_
28	28.1	Passerina_corymbosa
28	28.1	Pelargonium_cucullatum
28	28.1	Pennecetum_clandestynum
28	28.1	Pentaschistis_airoides
28	28.1	Rafnia_triflora
28	28.1	Rhus_lucida
28	28.1	Thamnochortus_fruticosus
28	28.1	Thesium_strictum
28	28.1	Watsonia_barbonica
28	28.1	Thamnochortus_arenarius
28	28.1	Ficinia_bulbosa
28	28.1	Mesem_sp_1
28	28.1	Oxalis_pink_leaf
28	28.1	Oxalis_sp_3
28	28.1	Oxalis_prescaparii
28	28.1	Ehrharta_calycina
28	28.1	Ficinia_small
28	28.1	Babiana_ambigua
28	28.1	Erica_muscosa
28	28.1	Tricocephalus_stipularis
28	28.1	Holothrix_villosa
28	28.1	Pillia_sp?_
28	28.1	Casmanthe_ithipica
28	28.1	Tritoniopsis_sp
28	28.1	Syphia_digitata
28	28.2	Anthospermum_aethiopicum
