Plot	Date/Time	Genus	Species
10.1	25.11.14	Leucospermum	conocarpodendron_subsp_hirta
10.1	25.11.14	Protea	lepidocarpodendron
10.1	25.11.14	Cymbopogon	marginatus
10.1	25.11.14	Tricocephalus	stipularis
10.1	25.11.14	Searsia	rosmarinifolia
10.1	25.11.14	Thamnochortus	lucens
10.1	25.11.14	Willdenowia	teres
10.1	25.11.14	Leucadendron	salignum
10.1	25.11.14	Erica	cerinthoides
10.1	25.11.14	Erica	plukenetii
10.1	25.11.14	Metalasia	densa
10.1	25.11.14	Restio	capensis
10.1	25.11.14	Microdon	dubium
10.1	25.11.14	Wachendorfia	paniculata
10.1	25.11.14	Hypodiscus	willdenowia
10.1	25.11.14	Stoebe	cinerea
10.1	25.11.14	Itasina	filifolia
10.1	25.11.14	Tritoniopsis	antholyza
10.1	25.11.14	Cliffortia	filifolia
10.1	25.11.14	Caesia	contorta
10.1	25.11.14	Helichrysum	cymosum
10.1	25.11.14	Acacia	cyclops
10.1	25.11.14	Searsia	lucida
10.1	25.11.14	Muraltia	orbicularis
10.1	25.11.14	Cassytha	ciliolata
10.1	25.11.14	Elytropappus	scaber
10.1	25.11.14	Helichrysum	tinctum
10.1	25.11.14	Erica	baccans
10.1	25.11.14	Stipagrostis	zeyherii
10.1	25.11.14	Ficinia	nigrescens
10.2	25.11.14	Staavia	radiata
10.2	25.11.14	Geochloa	rufa
10.2	25.11.14	Pentameris	curvifolius
10.2	25.11.14	Pseudoselago	spuria
10.2	25.11.14	Anthospermum	aethiopicum
10.3	25.11.14	Rafnia	capensis
10.3	25.11.14	Struthiola	argenteus
10.4	25.11.14	Diosma	oppositifolia
10.4	25.11.14	Pseudopentameris	macrantha
10.5	25.11.14	Diospyros	glabra
10.5	25.11.14	Pentameris	aristidoides
10.5	25.11.14	Chrysiocoma	ciliata
1.1	04.12.14	Mastersiella	digitata
1.1	04.12.14	Watsonia	borbonica
1.1	04.12.14	Cliffortia	stricta
1.1	04.12.14	Leucadendron	laureolum
1.1	04.12.14	Clutia	polygaloides
1.1	04.12.14	Bobartia	gladiata
1.1	04.12.14	Passerina	corymbosa
1.1	04.12.14	Euphorbia	tuberosa
1.1	04.12.14	Protea	lepidocarpodendron
1.1	04.12.14	Leucospermum	conocarpodendron
1.1	04.12.14	Staavia	radiata
1.1	04.12.14	Willdenowia	teres
1.1	04.12.14	Tetraria	bromoides
1.1	04.12.14	Erica	similis
1.1	04.12.14	Erica	abietina
1.1	04.12.14	Erica	cerinthoides
1.1	04.12.14	Elytropappus	scaber
1.1	04.12.14	Lichtenstienia	lacera
1.1	04.12.14	Diosma	oppositifolia
1.1	04.12.14	Oxalis	sp
1.1	04.12.14	Tetraria	compar
1.1	04.12.14	Tricocephalus	stipularis
1.1	04.12.14	Geochloa	rufa
1.1	04.12.14	Lanaria	lanata
1.1	04.12.14	Myrsine	africana
1.1	04.12.14	Lobelia	pinifolia
1.1	04.12.14	Hypodiscus	willdenowia
1.1	04.12.14	Tetraria	exilis
1.1	04.12.14	Pseudopentameris	hastifolius
1.1	04.12.14	Tetraria	fimbriolata
1.1	04.12.14	Ficinia	oligantha
1.1	04.12.14	Searsia	tomentosa
1.1	04.12.14	Gnidia	juniperifolia
1.1	04.12.14	Asparagus	rubicundus
1.1	04.12.14	Phylica	imberbis
1.1	04.12.14	Lobelia	coronopifolia
1.1	04.12.14	Tribolium	uniolae
1.1	04.12.14	Restio	cincinnatus
1.1	04.12.14	Cliffortia	filifolia
1.1	04.12.14	Restio	capensis
1.1	04.12.14	Gnidia	pinifolia
1.2	04.12.14	Searsia	lucida
1.2	04.12.14	Wachendorfia	paniculata
1.2	04.12.14	Olea	capensis
1.2	04.12.14	Elegia	racemosa
1.2	04.12.14	Maytenus	oleoides
1.2	04.12.14	Tetraria	cuspidata
1.2	04.12.14	Colpoon	compressum
1.2	04.12.14	Hypodiscus	aristatus
1.2	04.12.14	Tetraria	fimbriolata
1.2	04.12.14	Restio	filiformis
1.3	04.12.14	Erica	hispidula
1.3	04.12.14	Leucadendron	salignum
1.3	04.12.14	Tritoniopsis	triticea
1.3	04.12.14	Erica	plukenetii
1.3	04.12.14	Erica	tristis
1.3	04.12.14	Peucedanum	strictum
1.3	04.12.14	Ehrharta	longifolia
1.4	04.12.14	Osteospermum	ciliatum
1.4	04.12.14	Agathosma	imbricata
1.4	04.12.14	Pentameris	curvifolius
1.4	04.12.14	Erica	muscosa
1.4	04.12.14	Dilatris	pillansii
1.5	04.12.14	Bolusafra	bituminosa
1.5	04.12.14	Muraltia	sp_lime_green_(4935)
1.5	04.12.14	Ficinia	ecklonea
1.6	05.12.14	Roella	ciliata
1.6	05.12.14	Metalasia	densa
1.6	05.12.14	Adenandra	villosa_subsp_villosa
18.1	02.12.14	Ficinia	ramosissima
18.1	02.12.14	Passerina	paleacea
18.1	02.12.14	Senecio	hastifolius
18.1	02.12.14	Indigofera	brachystachya
18.1	02.12.14	Restio	eleocharis
18.1	02.12.14	Senecio	elegans
18.1	02.12.14	Phylica	ericoides
18.1	02.12.14	Trichogyne	repens
18.1	02.12.14	Brunsvigia	orientalis
18.1	02.12.14	Helichrysum	niveum
18.1	02.12.14	Pelargonium	betulinum
18.1	02.12.14	Ficinia	dunensis
18.1	02.12.14	Jordaaniella	dubia
18.1	02.12.14	Cinerea	geifolia
18.1	02.12.14	Metalasia	muricata
18.1	02.12.14	Salvia	africana.lutea
18.1	02.12.14	Ehrharta	ramosa
18.1	02.12.14	Pentameris	calcicola
18.1	02.12.14	Othonna	coronopifolia
18.1	02.12.14	Silene	aethiopica
18.1	02.12.14	Helichrysum	pandurifolium
18.1	02.12.14	Lyperia	tristis
18.1	02.12.14	Crassula	capensis
18.1	02.12.14	Hebenstreita	repens
18.1	02.12.14	Thesium	aggregatum
18.1	02.12.14	Wahlenbergia	tenella
18.1	02.12.14	Gladiolus	sp
18.1	02.12.14	Carpobrotus	acinaciformis
18.1	02.12.14	Cassytha	ciliolata
18.1	02.12.14	Osteospermum	monoliferum
18.1	02.12.14	Limonium	scabrum
18.1	02.12.14	Euclea	racemosa
18.1	02.12.14	Koeleria	capensis
18.1	02.12.14	Tetragonia	fruticosa
18.1	02.12.14	Tribolium	hispidum
18.1	02.12.14	Pentameris	barbata
18.1	02.12.14	Cynanchum	obtusifolium
18.1	02.12.14	Ehrharta	calycina
18.2	02.12.14	Acacia	cyclops
18.2	02.12.14	Othonna	filicaulis
18.2	02.12.14	Crassula	capensis
18.2	02.12.14	Albuca	flaccida
18.2	02.12.14	Cassine	maritima
18.2	02.12.14	Astephanus	triflorus
18.2	02.12.14	Helichrysum	crispum
18.3	02.12.14	Colpoon	compressum
18.3	02.12.14	Pterocelastrus	tricuspidatus
18.3	02.12.14	Silene	undulata_subsp_undulata
18.4	02.12.14	Hellmuthia	membranacea
18.4	02.12.14	Gazania	pectinata
2.1	21.11.14	Mimetes	fimbrifolius
2.1	21.11.14	Lobelia	pinifolia
2.1	21.11.14	Erica	similis
2.1	21.11.14	Cliffortia	atrata
2.1	21.11.14	Metalasia	cephalotes
2.1	21.11.14	Restio	cincinnatus
2.1	21.11.14	Tritoniopsis	triticea
2.1	21.11.14	Pelargonium	cucullatum
2.1	21.11.14	Moraea	tripetala
2.1	21.11.14	Tetraria	eximia
2.1	21.11.14	Ehrharta	ramosa
2.1	21.11.14	Willdenowia	teres
2.1	21.11.14	Myrsine	africana
2.1	21.11.14	Elytropappus	scaber
2.1	21.11.14	Lanaria	lanata
2.1	21.11.14	Restio	capensis
2.1	21.11.14	Bolusafra	bituminosa
2.1	21.11.14	Agathosma	imbricara
2.1	21.11.14	Erica	glabella_subsp_glabella
2.2	21.11.14	Corymbium	glabrum
2.2	21.11.14	Syncarpha	speciosissima_(dead_finished)
2.2	21.11.14	Thamnochortus	gracilis
2.2	21.11.14	Psoralea	pinnata
2.2	21.11.14	Pseudopentameris	macrantha
2.2	21.11.14	Tetraria	thermalis
2.2	21.11.14	Hypodiscus	aristatus
2.2	21.11.14	Oftia	africana
2.2	21.11.14	Ampithalea	ericifolia
2.2	21.11.14	Orchid	sp
2.2	21.11.14	Tetraria	eximia
2.2	21.11.14	Tetraria	cuspidata
2.3	21.11.14	Tetraria	compar
2.3	21.11.14	Ficinia	oligantha
2.4	21.11.14	Hermas	villosa
2.4	21.11.14	Morella	humilis
2.4	21.11.14	Asparagus	rubicundus
2.4	21.11.14	Diosma	oppositifolia
2.5	21.11.14	Phylica	imberbis
2.5	21.11.14	Tetraria	ustulata
22.1	10.02.15	Pteridium	aquilinum
22.1	10.02.15	Berzelia	lanuginosa
22.1	10.02.15	Erica	hirtiflora
22.1	10.02.15	Restio	tetragonus
22.1	10.02.15	Epischoenus	villosus
22.1	10.02.15	Carex	aethiopica
22.1	10.02.15	Ficinia	brevifolius
22.2	10.02.15	Miscanthus	capensis
