big_plot	peg	plot	species	regen_mode	no	max_ht	prop_cov_alive	prop_cov	new_seed	value
1	0	1.1.1	Leucadendron_laureolum	s	1	50	100	1	0	1
1	0	1.1.1	Watsonia_borbonica	r	1	120	100	2	0	1
1	0	1.1.1	Elegia_sp	r	2	100	30	20	0	1
1	0	1.1.1	mastersiella_digitata	s	3	50	50	15	0	1
1	0	1.1.1	cannamois_virgata	r	2	50	100	1	0	1
1	0	1.1.1	Elytropappus_scaber	s	4	50	60	5	0	1
1	0	1.1.1	Cliffortia_stricta	s	1	15	100	0.1	0	1
1	0	1.1.1	Cliffortia_filifolia	s	1	35	100	0.1	0	1
1	0	1.1.1	Stoebe_aethiopica	s	1	70	100	20	0	1
1	0	1.1.1	Haplocarpha_lanata	s	1	3	100	1	0	1
1	0	1.1.1	Tetraria_eximia	r	2	20	10	0.1	0	1
1	0	1.1.1	pentashistis_sp._	?	1	40	75	1	0	1
1	0	1.1.2	Leucospermum_conocarpodendron	s	1	20	50	1	0	1
1	0	1.1.2	mastersiella_digitata	s	4	45	60	20	0	1
1	0	1.1.2	Hypodiscus_wildenowia	r	2	30	100	3	0	1
1	0	1.1.2	Ischyrolepis_spp	r	2	5	10	0.1	0	1
1	0	1.1.2	Ficinia_oligantha	s	4	5	50	3	0	1
1	0	1.1.2	Tetraria_compar	r	4	30	100	5	0	1
1	0	1.1.2	Merxmuellera_rufa	r	2	25	75	4	0	1
1	0	1.1.2	Phylica_imberbis_	r	3	40	90	10	0	1
1	0	1.1.2	Cliffortia_filifolia	s	3	40	100	2	0	1
1	0	1.1.2	cliffortia_sp.	s	2	10	100	0.1	0	1
1	0	1.1.2	Oxalis_versicolor	s	1	5	100	0.1	0	1
1	0	1.1.2	Lichtensteinia_lacera	r	1	2	100	0.1	0	1
1	0	1.1.2	Babiana_sp.	?	1	5	100	0.1	0	1
1	0	1.1.2	Eriospermum_sp.	?	1	1	100	0.1	0	1
1	0	1.1.2	Passerina_corymbosa	s	1	25	100	0.1	0	1
1	0	1.2.3	Leucadendron_laureolum	r	1	100	100	15	0	1
1	0	1.2.3	mastersiella_digitata	s	3	40	25	10	0	1
1	0	1.2.3	cannamois_virgata	s	1	10	100	0.1	0	1
1	0	1.2.3	oxalis_sp.	r	2	5	100	1	0	1
1	0	1.2.3	Ischyrolepis_capensis	r	1	5	10	0.1	0	1
1	0	1.2.3	Ficinia_bulbosa	r	3	5	100	1	0	1
1	0	1.2.3	Cliffortia_filifolia	s	1	15	80	0.1	0	1
1	0	1.2.3	Elytropappus_scaber	s	0	60	50	65	0	1
1	0	1.2.4	mastersiella_digitata	s	1	40	50	3	0	1
1	0	1.2.4	Ischyrolepis_spp	r	20	10	35	7	0	1
1	0	1.2.4	Merxmuellera_rufa	r	3	40	80	10	0	1
1	0	1.2.4	Ficinia_bulbosa	r	4	5	50	1	0	1
1	0	1.2.4	Schizaea_pectinata	r	1	15	80	0.1	0	1
1	0	1.2.4	Aristea_africana	s	4	5	100	0.1	0	1
1	0	1.2.4	oxalis_sp.	r	1	5	100	1	0	1
1	0	1.2.4	Babiana_sp.	s	2	10	100	0.1	0	1
1	0	1.2.4	Haplocarpha_lanata	s	1	3	100	0.1	0	1
1	0	1.2.4	oxalis_spp_2	s	5	0.1	100	0.1	0	1
1	0	1.2.4	Metalasia_muricata	s	1	5	100	0.1	0	1
1	0	1.2.4	Cliffortia_stricta	s	2	75	100	15	0	1
1	0	1.2.4	Leucadendron_laureolum	s	1	65	95	3	0	1
1	0	1.3.5	mastersiella_digitata	s	5	65	50	70	0	1
1	0	1.3.5	Tetraria_eximia	r	9	20	90	3	0	1
1	0	1.3.5	Cliffortia_stricta	s	1	50	100	0.1	0	1
1	0	1.3.5	Thamnochortus_gracilus	s	2	20	100	1	0	1
1	0	1.3.5	Thamnochortus_gracilus	r	1	70	100	2	0	1
1	0	1.3.5	Elytropappus_scaber	s	2	70	100	10	0	1
1	0	1.3.5	Lobelia_coronopifolia	s	1	3	100	0.1	0	1
1	0	1.3.5	Anthospermum_aethiopicum	s	5	30	50	2	0	1
1	0	1.3.5	Merxmuellera_rufa	r	3	50	50	5	0	1
1	0	1.3.5	Tetraria_compar	r	2	60	100	1	0	1
1	0	1.3.5	Phylica_imberbis_	s	1	5	100	0.1	0	1
1	0	1.3.5	Tritoniopsis_triticea	r	1	10	100	0.1	0	1
1	0	1.3.5	Babiana_sp.	s	1	5	100	0.1	0	1
1	0	1.3.5	Oxalis_sp.	r	1	20	100	0.1	0	1
1	0	1.3.5	Hypodiscus_wildenowia	r	1	20	100	1	0	1
1	0	1.3.5	Cliffortia_filifolia	s	1	50	100	0.1	0	1
