big_plot	plot	sub-plot	species	regen_mode	no	max_ht	prop_cov_alive	prop_cov	new_seed
21	21.1	21.1.1	Conyza_scabrida	s	4	100	100	20	4
21	21.1	21.1.1	Mariscus_thunbergii	s	0	80	50	2	0
21	21.1	21.1.1	Pennisetum_macrourum	s	1	50	10	100	0
21	21.1	21.1.2	Pennisetum_macrourum	s	1	100	25	100	0
21	21.2	21.2.3	Conyza_scabrida	s	0	100	100	50	0
21	21.2	21.2.3	Pennisetum_macrourum	r	1	60	50	100	0
21	21.2	21.2.4	Pennisetum_macrourum	r	1	60	25	100	0
21	21.3	21.3.5	Conyza_scabrida	s	2	100	100	90	0
21	21.3	21.3.5	Pennisetum_macrourum	r	1	60	20	100	0
21	21.3	21.3.6	Conyza_scabrida	s	1	40	100	10	0
21	21.3	21.3.6	Pennisetum_macrourum	r	1	60	25	100	0
21	21.4	21.4.7	Pennisetum_macrourum	r	1	60	25	100	0
21	21.4	21.4.7	Oxalis_sp.		1	30	100	0.1	0
21	21.4	21.4.8	Conyza_scabrida	s	1	100	100	40	1
21	21.4	21.4.8	Pennisetum_macrourum	r	1	80	25	100	0
21	21.4	21.4.8	Pentaschistis_ampla		1	50	50	0.1	0
21	21.5	21.5.9	Pennisetum_macrourum		1	50	20	100	0
21	21.5	21.5.9	Typha_capensis	r	1	50	0	10	0
21	21.5	21.5.10	Pennisetum_macrourum		1	50	20	100	0
21	21.5	21.5.10	Typha_capensis		1	80	0	20	0
21	21.6	21.6.11	Conyza_scabrida	s	1	80	100	30	0
21	21.6	21.6.11	Pennisetum_macrourum		1	35	20	20	0
21	21.6	21.6.11	Typha_capensis		3	200	0	75	0
21	21.6	21.6.12	Conyza_scabrida		4	120	75	40	0
21	21.6	21.6.12	Pennisetum_macrourum		1	70	50	100	0
22	22.1	22.1.1	Berzelia_lanuginosa	s	30	75	100	60	0
22	22.1	22.1.1	Metalasia_muricata	s	0	90	100	5	0
22	22.1	22.1.1	Pteridium_aquilinum	r	20	75	5	80	0
22	22.1	22.1.1	Schoenozipium_grassulus		10	40	50	2	0
22	22.1	22.1.2	Berzelia_lanuginosa	s	40	120	100	70	0
22	22.1	22.1.2	Ehrharta_rehamanii_subsp_subspicata		3	30	10	5	0
22	22.1	22.1.2	Restio_quadratus_?	r	3	100	100	40	0
22	22.2	22.2.3	Berzelia_lanuginosa		50	100	100	80	0
22	22.2	22.2.3	Ehrharta_rehamanii_subsp_subspicata		5	30	20	3	0
22	22.2	22.2.3	Erica_hirtiflora	s	1	100	100	20	1
22	22.2	22.2.3	Schoenozipium_grassulus		10	50	100	1	0
22	22.2	22.2.4	Berzelia_lanuginosa		30	60	100	70	0
22	22.2	22.2.4	Ehrharta_rehamanii_subsp_subspicata		4	20	50	0.1	0
22	22.2	22.2.4	Pennisetum_macrourum		3	80	20	40	0
22	22.2	22.2.4	Schoenozipium_grassulus		5	50	100	2	0
22	22.2	22.2.4	Oxalis_legume_sp.		10	1	100	0.1	0
22	22.3	22.3.5	Berzelia_lanuginosa	s	15	80	100	40	15
22	22.3	22.3.5	Ehrharta_rehamanii_subsp_subspicata		5	30	50	2	0
22	22.3	22.3.5	Restio_quadratus_?	r	1	100	100	10	0
22	22.3	22.3.5	Schoenozipium_grassulus		10	50	100	1	0
22	22.3	22.3.5	Oxalis_legume_sp.		10	15	100	0.1	0
22	22.3	22.3.5	Restio_sp		2	50	100	0.1	2
22	22.3	22.3.6	Ehrharta_rehamanii_subsp_subspicata		2	20	100	0.1	0
22	22.3	22.3.6	Imperata_cylindrica	r	4	30	50	5	0
22	22.3	22.3.6	Schoenozipium_grassulus		1	30	100	0.1	0
22	22.3	22.3.6	Oxalis_legume_sp.		20	10	100	0.1	0
22	22.3	22.3.6	Restio_quadratus_?	r	2	70	50	20	0
22	22.4	22.4.7	Berzelia_lanuginosa	s	12	80	100	50	0
22	22.4	22.4.7	Imperata_cylindrica	r	25	20	50	75	0
22	22.4	22.4.7	Restio_quadratus_?	r	1	100	100	10	0
22	22.4	22.4.8	Berzelia_lanuginosa	s	75	100	100	100	0
22	22.4	22.4.8	Ehrharta_rehamanii_subsp_subspicata	s	1	20	25	0.1	0
22	22.4	22.4.8	Erica_hirtiflora	s	1	100	100	5	0
22	22.4	22.4.8	Imperata_cylindrica	r	2	50	20	2	0
22	22.4	22.4.8	Schoenozipium_grassulus		5	80	100	1	0
22	22.5	22.5.9	Berzelia_lanuginosa	s	35	65	100	50	0
22	22.5	22.5.9	Ehrharta_rehamanii_subsp_subspicata	s	10	20	100	2	0
22	22.5	22.5.9	Imperata_cylindrica	r	5	20	50	5	0
22	22.5	22.5.9	Pteridium_aquilinum	r	2	35	20	4	0
22	22.5	22.5.9	Schoenozipium_grassulus		25	60	100	10	0
22	22.5	22.5.10	Berzelia_lanuginosa	s	35	70	100	70	0
22	22.5	22.5.10	Ehrharta_rehamanii_subsp_subspicata	s	2	5	10	1	0
22	22.5	22.5.10	Pteridium_aquilinum	r	1	40	100	0.1	0
22	22.5	22.5.10	Restio_quadratus_?	r	1	15	100	0.1	1
22	22.5	22.5.10	Schoenozipium_grassulus		5	40	100	0.1	0
