Site/plot	Subplot	Date	Genus	species	Regen_mode	no	Max_height	prop_cov_alive	prop_cov
2.5	I	21/11/2014	Erica	similis	S	1	40	20	20
2.5	I	21/11/2014	Erica	glabella	S	1	40	20	20
2.5	I	21/11/2014	Restio	cincinnatus	R	5	30	25	35
2.5	I	21/11/2014	Tetraria	sylvatica	S	1	30	0.5	5
2.5	J	21/11/2014	Moss		S		1	5	10
2.5	J	21/11/2014	Restio	cincinnatus	R	6	35	50	60
2.5	J	21/11/2014	Erica	similis	S	2	25	10	10
2.6	K	21/11/2014	Restio	cincinnatus	R	5	40	25	50
2.6	K	21/11/2014	Erica	similis	S	1	35	10	10
2.6	K	21/11/2014	Phylica	imberbis	S	1	20	1	1
2.6	L	21/11/2014	Moss		S	7	1	4	6
2.6	L	21/11/2014	Restio	cincinnatus	R	4	30	2	50
2.6	L	21/11/2014	Erica	similis	S	0	100	6	6
2.6	L	21/11/2014	Tetraria	eximia	S	1	30	0	1
40.1	A	20.11.14	Edmondia	sesamoides	S	4	60	8	8
40.1	A	20.11.14	Metalasia	compacta	S	3	75	20	20
40.1	A	20.11.14	Erica	muscosa	S	3	80	40	40
40.1	A	20.11.14	Leucadendron	laureolum	S	2	90	1	2
40.1	A	20.11.14	Babiana	ambigua	R	2	10	0.1	0.2
40.1	A	20.11.14	Restio	cincinnatus	R	2	15	1	1
40.1	A	20.11.14	Thamnochortus	obtusus	R	1	45	1	1
40.1	A	20.11.14	Thamnochortus	gracilis	R	2	40	2	6
40.1	A	20.11.14	Restio	capensis	R	2	40	2	5
40.1	A	20.11.14	Anaxeton	laeve	S	0	30	0.4	0.4
40.1	A	20.11.14	Metalasia	brevifolius	S	1	20	5	5
40.1	A	20.11.14	Struthiola	ciliata	S	1	40	1	1
40.1	A	20.11.14	Thesium	strictum	S	1	45	1	1
40.1	A	20.11.14	Cullumia	setosa	S	2	40	1	1
40.1	A	20.11.14	Willdenowia	teres	S	1	40	0.5	0.5
40.1	A	20.11.14	Muraltia	thunbergii	S	1	10	0.1	0.1
40.1	B	20.11.14	Leucadendron	laureolum	S	3	70	20	20
40.1	B	20.11.14	Leucadendron	salignum	R	1	30	20	20
40.1	B	20.11.14	Restio	capensis	R	1	40	3	20
40.1	B	20.11.14	Babiana	ambigua	R	6	10	0.2	1
