spcID	Status	Origin
Atriplex_semibaccata	e	CapeCom
Chenpodium_glaucum	e	CapeCom
Chenpodium_mucronatum	e	CapeCom
Carduus_tenuiflorus	e	CapeCom
Erigeron_canadensis	e	CapeCom
Hypochoeris_radicata	e	CapeCom
Inula_graveolens	e	CapeCom
Lactuca_seriola	e	CapeCom
Petalacte_coronata	e	CapeCom
Picris_echioides	e	CapeCom
Senecio_pterophorus	e	CapeCom
Sonchus_asper	e	CapeCom
Sonchus_oleraceus	e	CapeCom
Sonchus_spp	e	CapeCom
Brassica_tournfortii	e	CapeCom
Raphanus_raphanistrum	e	CapeCom
Rapistrum_rugosum	e	CapeCom
Petrorhagia_prolifera	e	CapeCom
Polycarpon_tetraphyllum	e	CapeCom
Silene_bellidiodes	e	CapeCom
Silene_cretica	e	CapeCom
Spergularia_media	e	CapeCom
Hypericum_spp	e	CapeCom
Acacia_cyclops	e	CapeCom
Acacia_longifolia	e	CapeCom
Acacia_mearnsii	e	CapeCom
Acacia_melanoxylon_	e	CapeCom
Acacia_saligna	e	CapeCom
Melilotus_indica	e	CapeCom
Paraserianthes_lophantha	e	CapeCom
Trifolium_angustifolia_var._angustifolia	e	CapeCom
Trifolium_angustifolium	e	CapeCom
Trifolium_campestre	e	CapeCom
Vicia_hirsuta	e	CapeCom
Fumaria_muralis	e	CapeCom
Erodium_spp	e	CapeCom
Juncus_bufonius	e	CapeCom
Lythrum_hyssopifolium	e	CapeCom
Hibiscus_trionum	e	CapeCom
Malvaceae_weed	e	CapeCom
Myoporum_serratum	e	CapeCom
Eucalyptus_lehmanii	e	CapeCom
Eucalyptus_spp	e	CapeCom
Leptospermum_laevigatum	e	CapeCom
Epilobium_tetragonium_ssp._tetragonium	e	CapeCom
Epilobium_tetragonum	e	CapeCom
Oenothera_nocturna	e	CapeCom
Phytolacca_octandra	e	CapeCom
Phytolacca_spp	e	CapeCom
Pinus_pinaster	e	CapeCom
Pinus_spp	e	CapeCom
Plantago_lanceolata	e	CapeCom
Avena_barbata	e	CapeCom
Avena_fatua	e	CapeCom
Brachypodium_distachyon	e	CapeCom
Briza_minor	e	CapeCom
Brizia_maxima	e	CapeCom
Bromus_diandrus	e	CapeCom
Bromus_pectinatus	e	CapeCom
Catapodium_rigidum	e	CapeCom
Cynosurus_echinatus	e	CapeCom
Lagurus_ovatus	e	CapeCom
Lolium_multiflorum	e	CapeCom
Lolium_perenne	e	CapeCom
Lolium_spp	e	CapeCom
Pennisetum_clandestinum	e	CapeCom
Polypogon_monspeliensis	e	CapeCom
Polygonum_aviculare	e	CapeCom
Anagallis_arvensis	e	CapeCom
Hakea_drupacea	e	CapeCom
Hakea_gibbosa	e	CapeCom
Hakea_sericea	e	CapeCom
Rubus_spp	e	CapeCom
Populus_canescens	e	CapeCom
Datura_stramonium	e	CapeCom
Solanum_africanum	e	CapeCom
Solanum_mauritianum	e	CapeCom
Solanum_spp	e	CapeCom
