spcID	Status	Origin
Aristolochia_elegans_Mast.	Alien	SAPIA
Mimosa_pigra_L.	Alien	SAPIA
Antigonon_leptopus_Hook._&_Arn.	Alien	SAPIA
Parthenium_hysterophorus_L.	Alien	SAPIA
Gleditsia_triacanthos_L.	Alien	SAPIA
Thevetia_peruviana_(Pers.)_K._Schum.	Alien	SAPIA
Argemone_mexicana_L.	Alien	SAPIA
Argemone_ochroleuca_Sweet_subsp._ochroleuca	Alien	SAPIA
Senna_septemtrionalis_(Viv.)_Irwin_&_Barneby	Alien	SAPIA
Senna_hirsuta_(L.)_Irwin_&_Barneby	Alien	SAPIA
Senna_corymbosa_(Lam.)_Irwin_&_Barneby	Alien	SAPIA
Solanum_sisymbriifolium_Lam.	Alien	SAPIA
Azolla_filiculoides_Lam.	Alien	SAPIA
Canna_indica_L.	Alien	SAPIA
Pontederia_cordata_L.	Alien	SAPIA
Colocasia_esculenta_(L.)_Schott	Alien	SAPIA
Senna_occidentalis_(L.)_Link	Alien	SAPIA
Senna_multiglandulosa_(Jacq.)_Irwin_&_Barneby	Alien	SAPIA
Senna_pendula_(Willd.)_Irw._&_Barn._var._glabrata_(Vogel)_Irw._&_Barn.	Alien	SAPIA
Parkinsonia_aculeata_L.	Alien	SAPIA
Malva_dendromorpha_M.F._Ray	Alien	SAPIA
Canna_X_generalis_L.H.Bailey	Alien	SAPIA
Nephrolepis_exaltata_(L.)_Schott	Alien	SAPIA
Oenothera_biennis_L.	Alien	SAPIA
Oenothera_jamesii_Torr._&_Gray	Alien	SAPIA
Oenothera_glazioviana_Micheli_ex_C._Martius	Alien	SAPIA
Catharanthus_roseus_(L.)_G._Don	Alien	SAPIA
Convolvulus_arvensis_L.	Alien	SAPIA
Schinus_terebinthifolius_Raddi	Alien	SAPIA
Lepidium_draba_L.	Alien	SAPIA
Acacia_paradoxa_DC.	Alien	SAPIA
Albizia_lebbeck_(L.)_Benth.	Alien	SAPIA
Ageratum_conyzoides_L.	Alien	SAPIA
Ageratum_houstonianum_Mill.	Alien	SAPIA
Anredera_cordifolia_(Tenore)_Steen.	Alien	SAPIA
Alhagi_maurorum_Medik.	Alien	SAPIA
Araujia_sericifera_Brot.	Alien	SAPIA
Cardiospermum_grandiflorum_Swartz	Alien	SAPIA
Cardiospermum_halicacabum_L.	Alien	SAPIA
Cestrum_aurantiacum_Lindl.	Alien	SAPIA
Cestrum_laevigatum_Schlechtd.	Alien	SAPIA
Cortaderia_jubata_(Lem.)_Stapf	Alien	SAPIA
Cortaderia_selloana_(Schult.)_Aschers._&_Graebn.	Alien	SAPIA
Genista_monspessulana_(L.)_L.A.S.Johnson	Alien	SAPIA
Cytisus_scoparius_(L.)_Link	Alien	SAPIA
Cuscuta_campestris_Yunck.	Alien	SAPIA
Cuscuta_suaveolens_Ser.	Alien	SAPIA
Solanum_betaceum_Cav.	Alien	SAPIA
Datura_ferox_L.	Alien	SAPIA
Datura_inoxia_Mill.	Alien	SAPIA
Datura_stramonium_L.	Alien	SAPIA
Echium_plantagineum_L.	Alien	SAPIA
Echium_vulgare_L.	Alien	SAPIA
Hedychium_flavescens_Roscoe	Alien	SAPIA
Hypericum_perforatum_L.	Alien	SAPIA
Hakea_drupacea_(Gaertn._F.)_Roemer_&_Schultes	Alien	SAPIA
Hakea_gibbosa_(Sm.)_Cav.	Alien	SAPIA
Hakea_sericea_Schrad._&_J.C.Wendl.	Alien	SAPIA
Hakea_salicifolia_(Vent.)_B.L._Burtt	Alien	SAPIA
Ipomoea_indica_(Burm.f.)_Merr.	Alien	SAPIA
Ipomoea_alba_L.	Alien	SAPIA
Ipomoea_purpurea_(L.)_Roth.	Alien	SAPIA
Ligustrum_japonicum_Thunb.	Alien	SAPIA
Ligustrum_ovalifolium_Hassk.	Alien	SAPIA
Ligustrum_sinense_Lour.	Alien	SAPIA
Ligustrum_vulgare_L.	Alien	SAPIA
Myoporum_montanum_R.Br.	Alien	SAPIA
Myriophyllum_aquaticum_(Vell.)_Verdc.	Alien	SAPIA
Myriophyllum_spicatum_L.	Alien	SAPIA
Nassella_trichotoma_(Nees)_Hack._ex_Arech.	Alien	SAPIA
