spcID	Status	Origin
Acacia_adunca	Alien	iSPOT
Acacia_dealbata	Alien	iSPOT
Acacia_stricta	Alien	iSPOT
Acacia_subporosa	Alien	iSPOT
Acacia_viscidula	Alien	iSPOT
Acroceras_macrum	Alien	iSPOT
Adiantum_hispidulum	Alien	iSPOT
Adiantum_raddianum	Alien	iSPOT
Afrocarpus_falcatus	Alien	iSPOT
Agapanthus_praecox	Alien	iSPOT
Agave_americana	Alien	iSPOT
Ageratum_houstonianum	Alien	iSPOT
Agrostemma_githago	Alien	iSPOT
Agrostis_avenacea	Alien	iSPOT
Aira_cupaniana	Alien	iSPOT
Allium_triquetrum	Alien	iSPOT
Alternanthera_pungens	Alien	iSPOT
Amaranthus_deflexus	Alien	iSPOT
Amaranthus_lividus	Alien	iSPOT
Amaranthus_muricatus	Alien	iSPOT
Amaranthus_thunbergii	Alien	iSPOT
Ambrosia_artemisiifolia	Alien	iSPOT
Ammi_majus	Alien	iSPOT
Ammophila_arenaria	Alien	iSPOT
Amsinckia_calycina	Alien	iSPOT
Anagallis_arvensis	Alien	iSPOT
Anagallis_foemina	Alien	iSPOT
Anthoxanthum_odoratum	Alien	iSPOT
Antirrhinum_orontium	Alien	iSPOT
Argemone_mexicana	Alien	iSPOT
Aristolochia_littoralis	Alien	iSPOT
Arrhenatherum_elatius	Alien	iSPOT
Aster_subulata	Alien	iSPOT
Atriplex_lindleyi	Alien	iSPOT
Atriplex_muelleri	Alien	iSPOT
Atriplex_semibaccata	Alien	iSPOT
Avena_barbata	Alien	iSPOT
Avena_fatua	Alien	iSPOT
Avena_sativa	Alien	iSPOT
Avena_sterilis	Alien	iSPOT
Bambusa_balcooa	Alien	iSPOT
Banksia_integrifolia	Alien	iSPOT
Barbarea_verna	Alien	iSPOT
Beta_vulgaris	Alien	iSPOT
Billardiera_heterophylla	Alien	iSPOT
Boerhavia_diffusa	Alien	iSPOT
Brachylaena_discolor	Alien	iSPOT
Brachylaena_elliptica	Alien	iSPOT
Brachypodium_distachyon	Alien	iSPOT
Brassica_napus	Alien	iSPOT
