SpcID	Growth_Form	Life_span_	Dispersal	Seed_size	Regeneration	plant_height	time_to_first_flower	distribution	fire.recruiters	Mycorrhizal_status	Alien
Acacia_cyclops	t	p	v	b	s	b	3	e	fsg	VAM	1
Acacia_longifolia	t	p	v	b	s	b	3	e	fsg	NA	1
Acacia_mearnsii	t	p	v	b	s	b	3	e	fsg	NA	1
Acacia_melanoxylon	t	p	v	b	s	b	3	e	fsg	NA	1
Acacia_saligna	t	p	v	b	es	b	3	e	fsg	VAM	1
Acrolophia_capensis	b	p	p	s	us	s	1	o	fsf	NA	NA
Acrolophia_lamellata	b	p	p	s	us	s	1	o	fsf	NA	NA
Adenandra_villosa	e	p	p	b	s	s	2	re	fsg	NA	NA
Adenocline_pauciflora	h	p	u	s	us	s	1	o	n	NA	NA
Agapanthus_africanus	b	p	u	b	us	s	1	re	n	NA	NA
Agathosma_capensis	e	p	p	s	es	s	1	re	fsg	NA	NA
Agathosma_ciliaris	e	p	u	s	es	s	2	re	fsg	NA	NA
Agathosma_imbricata	e	p	p	s	es	s	1	re	fsg	VAM	NA
Agathosma_sp3	e	p	p	u	u	s	2	re	fsg	NA	NA
Aizoon_paniculatum	h	p	p	s	s	s	2	re	n	NA	NA
Aizoon_sarmentosum	h	p	p	s	s	s	2	re	n	NA	NA
Albuca_canadensis	b	p	w	s	us	s	1	o	n	NA	NA
Albuca_cooperi	b	p	w	s	us	s	1	o	n	NA	NA
Albuca_flaccida	b	p	w	s	us	s	1	o	n	NA	NA
Albuca_sp3	b	p	w	s	us	s	1	o	n	NA	NA
Alectra_sessiliflora	h	p	p	s	s	s	1	o	n	NA	NA
Amphithalea_ericifolia	e	p	m	s	es	s	1	re	fsf	VAM	NA
Anagallis_arvensis	h	a	p	s	s	s	1	e	n	VAM	1
Anaxeton_laeve	h	p	w	s	s	s	2	re	fsg	NA	NA
Androcymbium_capense	b	p	v	u	us	s	1	o	n	NA	NA
Androcymbium_eucomoides	b	p	v	b	us	s	1	o	n	NA	NA
Androcymbium_sp1	b	p	v	u	us	s	1	o	n	NA	NA
Anemone_knowltonia	b	p	w	s	us	s	1	re	n	NA	NA
Anemone_vesicatoria	b	p	w	s	us	s	1	o	n	NA	NA
Anisodontea_scabrosa	h	p	p	s	s	b	2	o	n	NA	NA
Annesorhiza_grandiflora	b	p	w	s	us	s	1	re	u	NA	NA
Annesorhiza_macrocarpa	h	p	w	s	us	s	2	o	u	NA	NA
Annual_sp1	h	a	p	s	s	s	1	o	u	NA	NA
Anthochortus_capensis	g	p	p	s	s	s	3	le	fsg	NA	NA
Anthochortus_crinalis	g	p	p	s	us	s	2	re	fsg	NA	NA
Anthospermum_aethiopicum	e	p	p	s	es	s	2	o	fsg	VAM	NA
Anthospermum_bergianum	e	p	p	s	s	s	3	re	fsg	NA	NA
Anthospermum_galioides	e	p	p	s	s	s	1	o	fsg	NA	NA
Anthospermum_sp2	e	p	p	s	s	s	2	o	u	NA	NA
Apiaceae_adenocline	h	p	u	s	us	s	1	o	n	NA	NA
Apiaceae_sp1	h	p	p	s	us	s	1	re	u	NA	NA
Apocynaceae_sp1	h	u	w	s	s	s	1	o	u	NA	NA
Arctotheca_calendula	h	a	w	s	s	s	1	o	u	VAM	NA
Argyrolobium_filiforme	e	p	p	u	us	s	1	re	fsg	NA	NA
Argyrolobium_lanceolatum	e	p	p	u	s	s	2	re	fsg	NA	NA
Aristea_africana	b	p	w	u	us	s	1	re	u	NA	NA
Aristea_bakeri	b	p	w	u	us	s	1	re	fsg	NA	NA
Aristea_capitata	b	p	w	b	us	s	1	re	fsg	NA	NA
Aristea_cuspidata	b	p	w	u	us	s	1	re	fsg	NA	NA
Aristea_dichotoma	b	p	w	u	us	s	1	re	fsg	NA	NA
Aristea_sp2	b	p	w	u	us	s	1	re	u	NA	NA
Aristea_spiralis	b	p	w	b	us	s	1	re	fsg	NA	NA
Aspalathus_capensis	e	p	p	b	s	b	2	le	fsg	NA	NA
Aspalathus_cephalotes	e	p	p	u	s	s	2	re	fsg	NA	NA
Aspalathus_chenopoda	e	p	p	b	s	b	2	re	fsg	NA	NA
Aspalathus_ciliaris	e	p	p	b	s	s	2	re	fsg	NA	NA
Aspalathus_cordata	h	p	p	u	s	s	2	re	fsg	NA	NA
Aspalathus_divaricata	e	p	p	s	s	s	2	re	fsg	ABS	NA
Aspalathus_ericifolia	e	p	p	s	s	s	2	re	fsg	NA	NA
Aspalathus_forbesii	e	p	p	u	s	s	2	re	fsg	NA	NA
Aspalathus_hispida	e	p	p	s	s	s	2	o	fsg	NA	NA
Aspalathus_juniperina	e	p	p	b	s	s	2	re	fsg	NA	NA
Aspalathus_laricifolia	e	p	p	b	s	s	2	re	fsg	NA	NA
Aspalathus_linguiloba	e	p	p	b	s	s	2	re	fsg	NA	NA
Aspalathus_microphylla	e	p	p	s	s	s	2	re	fsg	NA	NA
Aspalathus_retroflexa	e	p	p	b	s	s	2	re	fsg	NA	NA
Aspalathus_sp10	e	p	p	u	s	s	2	re	fsg	NA	NA
Aspalathus_sp2	e	p	p	u	u	s	2	o	fsg	NA	NA
Aspalathus_sp3	e	p	p	u	u	s	2	o	fsg	NA	NA
Aspalathus_sp4	e	p	p	u	u	s	2	o	fsg	NA	NA
Asparagus_aethiopicus	o	p	v	s	es	s	1	o	n	NA	NA
Asparagus_africanus	o	p	v	s	es	s	1	o	n	NA	NA
Asparagus_asparagoides	o	p	v	s	es	s	1	o	n	NA	NA
Asparagus_capensis	o	p	v	b	es	s	1	o	n	NA	NA
Asparagus_lignosus	o	p	v	s	es	s	1	o	n	NA	NA
Asparagus_rubicundus	o	p	v	u	es	s	1	o	n	NA	NA
Asparagus_sp3	o	p	v	u	es	s	1	o	n	NA	NA
Asparagus_suaveolens	o	p	v	u	es	s	1	o	n	NA	NA
Asphalathus_devoricata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspidoglossum_heterophyllum	h	p	w	s	s	s	1	o	u	NA	NA
Astephanus_triflorus	h	p	w	s	s	s	2	o	u	NA	NA
Asteraceae_sp1	u	u	u	u	u	u	u	u	u	NA	NA
Asteraceae_sp3	u	u	u	u	u	u	u	u	u	NA	NA
Athanasia_crithmifolia	o	p	w	s	s	b	2	re	u	NA	NA
Athanasia_dentata	o	p	w	s	s	b	2	re	u	NA	NA
Atriplex_semibaccata	h	p	v	b	s	s	2	e	u	VAM	1
Avena_barbata	g	a	p	s	s	s	1	e	n	NA	1
Avena_fatua	g	a	p	s	s	s	1	e	n	NA	1
Avena_sativa	g	a	p	s	s	s	1	e	n	NA	1
Babiana_ambigua	b	p	w	u	us	s	1	re	fsg	NA	NA
Babiana_sp1	b	p	w	u	us	s	1	re	u	NA	NA
Baeometra_uniflora	b	p	u	u	us	s	1	re	u	NA	NA
Berkheya_armata	o	p	w	b	es	s	1	re	u	NA	NA
Berkheya_barbata	o	p	w	s	es	s	1	re	u	NA	NA
Berkheya_rigida	o	p	w	s	es	s	1	re	u	NA	NA
Berzelia_abrotanoides	e	p	w	s	s	b	2	re	fsg	NA	NA
Berzelia_lanuginosa	e	p	w	s	s	b	2	re	fsg	NA	NA
Blechnum_capense	o	p	p	s	us	s	1	o	u	NA	NA
Blechnum_tabulare	o	p	w	s	us	s	1	o	u	NA	NA
Bobartia_filiformis	b	p	p	s	us	s	1	re	fsf	NA	NA
Bobartia_gladiata	b	p	p	s	us	s	1	re	fsf	NA	NA
Bobartia_indica	b	p	p	s	us	s	1	re	fsf	NA	NA
Bobartia_sp2	b	p	p	u	us	s	1	re	fsf	NA	NA
Bolusafra_bituminosa	o	p	p	b	s	s	2	re	fsg	NA	NA
Brachypodium_distachyon	g	a	p	s	s	s	1	e	u	NA	1
Brassica_tournefortii	h	a	p	b	s	s	1	e	fsg	NA	1
Briza_maxima	g	a	p	s	s	s	1	e	u	NA	1
Briza_minor	g	a	p	s	s	s	1	e	u	NA	1
Bromus_catharticus	g	a	w	b	s	s	1	e	u	NA	1
Bromus_diandrus	g	a	w	b	s	s	1	e	u	NA	1
Bromus_leptoclados	g	a	w	b	s	s	1	e	u	NA	1
Bromus_pectinatus	g	a	p	b	s	s	1	e	u	VAM	1
Brunia_noduliflora	e	p	w	b	es	s	2	re	u	NA	NA
Brunsvigia_orientalis	b	p	w	b	us	s	1	re	u	NA	NA
Bulbine_lagopus	b	p	w	s	us	s	1	o	u	NA	NA
Bulbine_sp3	b	p	w	u	us	s	1	o	u	NA	NA
Caesia_contorta	b	p	m	b	us	s	1	o	NA	NA	NA
Campanulaceae_sp1	u	u	u	u	s	s	u	u	u	NA	NA
Cannomois_virgata	g	p	m	b	us	b	2	re	fsg	NA	NA
Capelio_tabularis	o	p	w	s	es	s	1	re	fsf	NA	NA
Capeobolus_brevicaulis	g	p	p	b	us	s	2	re	u	NA	NA
Capeochloa_cincta	g	p	w	b	es	s	1	o	fsf,fsg	NA	NA
Carduus_pycnocephalus	h	a	w	s	s	s	1	e	u	NA	1
Carduus_tenuiflorus	h	u	w	s	s	s	1	e	u	NA	1
Carex_aethiopica	g	p	w	b	s	s	2	o	u	NA	NA
Carex_clavata	g	p	w	b	s	s	2	o	u	NA	NA
Carpacoce_spermacocea	h	p	p	s	s	s	2	re	fsg	NA	NA
Carpacoce_vaginellata	h	p	p	s	s	s	2	o	fsg	NA	NA
Carpobrotus_acinaciformis	h	p	v	s	s	s	2	re	n	NA	NA
Carpobrotus_edulis	h	p	v	s	s	s	2	o	n	ABS	NA
Cassine_maritima	t	p	v	b	es	b	2	o	u	NA	NA
Cassine_maurocenia	t	p	v	b	es	b	2	re	u	NA	NA
Cassine_peragua	t	p	v	b	es	b	2	o	n	NA	NA
Cassytha_ciliolata	h	p	v	b	s	s	2	o	n	NA	NA
Catapodium_rigidum	g	a	p	s	s	s	1	e	n	NA	1
Centella_affinis	h	p	m	b	s	s	2	re	fsg	NA	NA
Centella_fusca	h	p	m	b	s	s	2	re	fsg	NA	NA
Centella_glabrata	h	p	m	b	s	s	2	re	fsg	NA	NA
Centella_macrocarpa	h	p	m	b	s	s	2	o	fsg	NA	NA
Centella_sp1	h	p	m	u	s	s	2	o	fsg	NA	NA
Centella_tridentata	h	b	m	s	s	s	1	o	fsg	NA	NA
Centella_triloba	h	p	m	s	es	s	1	re	fsg	NA	NA
Centella_villosa	h	p	m	s	es	s	2	re	fsg	NA	NA
Cerastium_capense	h	a	p	s	s	s	1	o	u	NA	NA
Ceratandra_atrata	b	p	u	s	us	s	1	re	fsf	NA	NA
Chaenostoma_hispidum	h	a	u	s	s	s	2	re	u	NA	NA
Chasmanthe_aethiopica	b	p	p	b	us	s	1	o	u	NA	NA
Cheilanthes_capensis	o	p	p	s	us	s	2	o	u	NA	NA
Chenopodium_glaucum	h	b	p	s	s	s	1	e	u	NA	1
Chenopodium_mucronatum	h	b	p	s	s	s	1	e	u	NA	NA
Chionanthus_foveolatus	t	p	v	b	es	b	2	o	n	NA	NA
Chironia_baccifera	h	p	v	b	s	s	2	o	n	NA	NA
Chironia_decumbens	h	p	v	b	s	s	2	re	n	NA	NA
Chironia_jasminoides	h	p	p	s	s	s	2	re	fsg	NA	NA
Chironia_linoides	h	p	p	b	s	s	2	o	u	NA	NA
Chrysanthemoides_incana	o	p	v	b	s	s	2	o	n	VAM	NA
Chrysanthemoides_monilifera	o	p	v	b	s	b	2	o	n	NA	NA
Chrysitrix_capensis	g	p	m	b	s	s	2	re	u	NA	NA
Chrysocoma_ciliata	h	p	w	s	s	s	2	re	u	NA	NA
Chrysocoma_coma.aurea	h	p	w	s	s	s	2	re	u	NA	NA
Cineraria_geifolia	h	p	w	s	s	s	2	o	fsg	VAM	NA
Cissampelos_capensis	h	p	p	b	us	s	2	o	u	NA	NA
Cleretum_herrei	h	a	p	s	s	s	1	re	fsg	NA	NA
Cleretum_sp1	h	a	p	s	s	s	1	re	fsg	NA	NA
Cliffortia_atrata	e	p	m	b	s	s	2	re	fsg	NA	NA
Cliffortia_falcata	e	p	m	s	s	s	2	re	fsg	NA	NA
Cliffortia_filifolia	e	p	m	b	s	s	2	re	fsg	NA	NA
Cliffortia_glauca	e	p	m	s	s	s	2	re	fsg	NA	NA
Cliffortia_graminea	o	p	m	b	us	s	2	re	fsg	NA	NA
Cliffortia_obcordata	e	p	m	s	s	s	2	re	fsg	NA	NA
Cliffortia_polygonifolia	e	p	w	b	s	s	2	re	fsg	VAM	NA
Cliffortia_ruscifolia	e	p	m	b	s	s	2	re	fsg	VAM	NA
Cliffortia_sp6	e	p	m	b	s	s	2	re	fsg	NA	NA
Cliffortia_stricta	e	p	p	s	s	s	2	re	fsg	NA	NA
Cliffortia_strobilifera	e	p	m	b	us	b	2	re	fsg	NA	NA
Clutia_alaternoides	o	p	p	s	es	s	2	o	u	VAM	NA
Clutia_ericoides	e	p	m	b	es	s	2	o	u	NA	NA
Clutia_polygonoides	o	p	m	b	es	s	2	re	u	NA	NA
Clutia_sp1	o	p	u	u	es	s	2	o	u	NA	NA
Coleonema_album	e	p	m	b	s	b	2	re	fsg	NA	NA
Colpoon_compressum	t	p	v	b	es	b	2	o	n	NA	NA
Commelina_africana	h	p	u	s	s	s	2	o	u	NA	NA
Conyza_canadensis	h	a	w	s	s	s	1	e	u	NA	1
Conyza_scabrida	o	p	w	s	s	s	2	o	u	NA	NA
Corymbium_africanum	b	p	w	b	us	s	1	o	fsf	NA	NA
Corymbium_enerve	b	p	w	b	us	s	1	le	fsf	NA	NA
Corymbium_glabrum	b	p	w	b	us	s	1	o	fsf	NA	NA
Corymbium_sp1	b	p	w	b	us	s	1	o	fsf	NA	NA
Cotula_filifolia	h	a	w	s	s	s	1	re	u	NA	NA
Cotula_sp1	h	a	w	s	s	s	1	o	u	NA	NA
Cotula_turbinata	h	a	w	s	s	s	1	re	u	NA	NA
Crassula_campestris	h	a	p	s	s	s	1	o	u	NA	NA
Crassula_capensis	h	a	p	s	us	s	1	re	u	NA	NA
Crassula_coccinea	h	p	p	s	s	s	2	re	u	NA	NA
Crassula_decumbens	h	a	p	s	s	s	1	o	u	NA	NA
Crassula_dichotoma	h	a	p	s	s	s	1	o	u	ABS	NA
Crassula_fascicularis	h	p	p	s	s	s	2	re	u	NA	NA
Crassula_glomerata	h	a	p	s	s	s	1	re	u	ABS	NA
Crassula_nudicaulis	h	p	p	s	es	s	1	o	u	NA	NA
Crassula_tetragona	h	p	p	s	s	s	2	re	u	NA	NA
Cryptadenia_grandiflora	h	p	m	b	es	s	3	re	fsg	NA	NA
Cullumia_decurrens	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cullumia_setosa	o	p	m	b	s	s	2	re	fsg	NA	NA
Cullumia_squarrosa	o	p	m	b	s	s	2	re	fsg	NA	NA
Cuscuta_nitida	h	p	u	s	s	s	2	re	n	NA	NA
Cussonia_thyrsiflora	t	p	v	b	es	b	2	o	n	NA	NA
Cyanella_hyacinthoides	b	p	m	s	us	s	1	o	u	VAM	NA
Cyathocoma_hexandra	g	p	p	u	es	s	1	re	u	NA	NA
Cymbopogon_marginatus	g	p	p	s	us	s	1	o	u	NA	NA
Cynanchum_africanum	h	p	w	b	s	s	2	o	u	NA	NA
Cynanchum_obtusifolium	h	p	w	b	us	s	1	o	u	NA	NA
