"x" "y" "Site" "Altitude" "Geology" "Vegetation" "Aliens" "All_burns" "Burned_2000" "Burned_2005" "Burned_2008" "Burned_2011" "Burned_2012" "Burned_2015" "aspect30m" "dem_remnant_30m" "dem30m" "elevation30m" "indexgrid_landsat_30m" "jan_solar_radiation30m" "jul_solar_radiation30m" "slope30m" "Tmax_jan_mean30m" "Tmin_jul_mean30m" "topographicPositionIndex30m" "veg_communities_cowling_remnant_30m" "veg_communities_cowling30m" "veg_national_remnant_30m" "veg_national30m" "veg_subtypes_remnant_30m" "veg_subtypes30m" "vegtypes"
262323.533427285 6224539.02267458 1 "Med" "TMS" "Fynbos" "No Aliens" "1992, 2000, 2015" "1" "0" "0" "0" "0" "1" 4.34830045700073 295.944244384766 295.944244384766 295.944244384766 510630 8564.0830078125 3034.58325195312 0.189239710569382 26.7514820098877 8.80424404144287 -5.74655723571777 3 3 15 15 11 11 16
261620.748804608 6224841.9179372 2 "Med" "TMS" "Fynbos" "No Aliens" "2000, 2015" "1" "0" "0" "0" "0" "1" 2.8660991191864 310.19482421875 310.19482421875 310.19482421875 503866 8577 2056.75 0.275418013334274 27.3948993682861 8.69592380523682 3.40539264678955 3 3 15 15 11 11 16
262430.263086156 6224578.71086527 3 "Med" "TMS" "Fynbos" "No Aliens" "1992, 2000, 2015" "1" "0" "0" "0" "0" "1" 4.6798243522644 326.914245605469 326.914245605469 326.914245605469 509959 8444.25 3097.16674804688 0.461664468050003 27.2556800842285 9.31130504608154 34.6421318054199 3 3 15 15 11 11 16
259551.48629751 6225513.90173098 4 "High" "TMS" "Fynbos" "Invaded" "1974, 2000, 2015" "1" "0" "0" "0" "0" "1" 2.97625541687012 535.427062988281 535.427062988281 535.427062988281 488295 8333.1669921875 2424 0.17755851149559 24.4792308807373 7.34955024719238 64.6280517578125 11 11 15 15 11 11 16
262241.657771329 6224632.53393868 5 "Med" "TMS" "Fynbos" "No Aliens" "2000, 2015" "1" "0" "0" "0" "0" "1" 4.12940883636475 286.967620849609 286.967620849609 286.967620849609 508605 8858.9169921875 3093.08325195312 0.105464845895767 27.0046634674072 8.6388111114502 -14.4656829833984 3 3 15 15 11 11 16
259471.762997063 6225823.27031492 6 "High" "TMS" "Fynbos" "Cleared" "1979, 2000, 2015" "1" "0" "0" "0" "0" "1" 2.70088243484497 560.463684082031 560.463684082031 560.463684082031 481553 8704.25 2204.33325195312 0.247751116752625 25.3526859283447 7.16954755783081 39.230655670166 11 11 15 15 11 11 16
261055.571452815 6224066.06795851 7 "Med" "TMS" "Fynbos" "Cleared" "1970, 1994, 2000, 2015" "1" "0" "0" "0" "0" "1" 3.57479047775269 276.515075683594 276.515075683594 276.515075683594 521371 8755 2441.75 0.201336041092873 28.2788143157959 8.47558975219727 -22.0501003265381 3 3 15 15 11 11 16
260513.729055758 6223586.75260795 8 "Med" "TMS" "Fynbos" "Invaded" "1970, 1984, 2000, 2015" "1" "0" "0" "0" "0" "1" 1.65738606452942 254.763275146484 254.763275146484 254.763275146484 532137 8867.5830078125 3224.83325195312 0.214192032814026 28.0328731536865 8.62271308898926 8.93343448638916 3 3 15 15 11 11 16
260574.070554409 6223634.53423191 9 "Med" "TMS" "Fynbos" "No Aliens" "1970, 1984, 1994, 2000, 2015" "1" "0" "0" "0" "0" "1" 1.21872091293335 239.603256225586 239.603256225586 239.603256225586 530791 8965.75 3618.5 0.194526150822639 28.254114151001 8.60772037506104 -6.55443143844604 3 3 15 15 11 11 16
256442.300842688 6226106.2378978 10 "Med" "Granite" "Fynbos" "No Aliens" "1986, 2000, 2015" "1" "0" "0" "0" "0" "1" 0.21558403968811 151.626358032227 151.626358032227 151.626358032227 475386 8705.1669921875 5194.33349609375 0.424715638160706 29.0261383056641 9.96272373199463 -5.35529041290283 3 3 15 15 6 6 16
256768.45531264 6226392.14997036 11 "Low" "Granite" "Fynbos" "No Aliens" "1990, 2000, 2011, 2015" "1" "0" "0" "1" "0" "1" 5.48927307128906 119.967437744141 119.967437744141 119.967437744141 468656 8495.3330078125 4781.41650390625 0.510325908660889 30.06618309021 10.6729001998901 0.453360795974731 2 2 19 19 3 3 15
257651.728997036 6226365.55995055 12 "Low" "Granite" "Fynbos" "Invaded" "1970, 1990, 1995, 2000, 2015" "1" "0" "0" "0" "0" "1" 4.6942343711853 387.567687988281 387.567687988281 387.567687988281 469360 8778 3288.25 0.296227723360062 26.9008884429932 8.49999713897705 20.4215545654297 3 3 15 15 11 11 16
257292.09941647 6227978.09309154 13 "Low" "Granite" "Fynbos" "Cleared" "1978, 1990, 2000, 2015" "1" "0" "0" "0" "0" "1" 5.22506904602051 67.8408279418945 67.8408279418945 67.8408279418945 432952 8578.0830078125 3294.25 0.193406566977501 29.5581684112549 10.2424716949463 -28.5526504516602 2 2 19 19 3 3 15
257467.825265483 6227930.1960969 14 "Low" "Granite" "Fynbos" "No Aliens" "1980, 1990, 2000, 2015" "1" "0" "0" "0" "0" "1" 5.47199487686157 126.060363769531 126.060363769531 126.060363769531 434306 8683.3330078125 3830.41674804688 0.317509531974792 29.5519618988037 10.1704444885254 -27.4353847503662 2 2 19 19 3 3 15
256684.716698822 6228942.92116641 15 "Low" "Granite" "Fynbos" "Invaded" "2000, 2015" "1" "0" "0" "0" "0" "1" 4.54577684402466 75.1880874633789 75.1880874633789 75.1880874633789 411364 8168.5 2800.08325195312 0.513864517211914 31.4189510345459 10.8177309036255 -17.6063365936279 2 2 19 19 3 3 15
