Order,Best_source,Det_to_species,Doug_to_check,Human_alternative,Human_comment,Alien,Original,Official,Synonym,TNRS_Name_submitted,TNRS_Name_matched,TNRS_Author_matched,TNRS_Overall_score,TNRS_Taxonomic_status,TNRS_Accepted_name,TNRS_Accepted_author,TNRS_Accepted_family,TNRS_Source,TNRS_Warnings,TNRS_Accepted_name_lsid
56,Original,0,1,,Annesorhiza? No pauciflora,,Anecorihza pausiflora,0,0,Anecorihza pausiflora,No suitable matches found.,,0,,,,,, ,
84,Human_alternative,1,,Eriospermum capense,,,Areospernum capens,0,0,Areospernum capens,No suitable matches found.,,0,,,,,, ,
206,Human_alternative,0,,Bulbine sp1,,,Bolubini sp (fat stem),0,0,Bolubini sp (fat stem),No suitable matches found.,,0,,,,,, ,
325,Human_alternative,1,1,Cissampelos capensis,,,Cispilos capensis,0,0,Cispilos capensis,No suitable matches found.,,0,,,,,, ,
407,Human_alternative,1,,Corymbium glabrum,,,Currumbrium glabrum,0,0,Currumbrium glabrum,No suitable matches found.,,0,,,,,, ,
421,Original,0,,,,,cyp sp,0,0,cyp sp,No suitable matches found.,,0,,,,,, ,
422,Original,0,,,,,Cyp sp 2007/345,0,0,Cyp sp 2007/345,No suitable matches found.,,0,,,,,, ,
654,Original,0,,,,,Erica spp 08,0,0,Erica spp 08,No suitable matches found.,,0,,,,,, ,
655,Original,0,,,,,Erica spp 09,0,0,Erica spp 09,No suitable matches found.,,0,,,,,, ,
656,Original,0,,,,,Erica spp 2007/13,0,0,Erica spp 2007/13,No suitable matches found.,,0,,,,,, ,
657,Original,0,,,,,Erica spp 2007/14,0,0,Erica spp 2007/14,No suitable matches found.,,0,,,,,, ,
659,Original,0,,,,,Erica spp. 01,0,0,Erica spp. 01,No suitable matches found.,,0,,,,,, ,
660,Original,0,,,,,Erica spp.02,0,0,Erica spp.02,No suitable matches found.,,0,,,,,, ,
661,Original,0,,,,,Erica spp.03,0,0,Erica spp.03,No suitable matches found.,,0,,,,,, ,
662,Original,0,,,,,Erica spp.04,0,0,Erica spp.04,No suitable matches found.,,0,,,,,, ,
663,Original,0,,,,,Erica spp.05,0,0,Erica spp.05,No suitable matches found.,,0,,,,,, ,
664,Original,0,,,,,Erica spp.06,0,0,Erica spp.06,No suitable matches found.,,0,,,,,, ,
665,Original,0,,,,,Erica spp.07,0,0,Erica spp.07,No suitable matches found.,,0,,,,,, ,
802,Original,0,,,,,Gladiolus spp 2007/,0,0,Gladiolus spp 2007/,No suitable matches found.,,0,,,,,, ,
930,Human_alternative,1,,Hyparrhenia hirta,,,Hyperinnia hirta,0,0,Hyperinnia hirta,No suitable matches found.,,0,,,,,, ,
964,Original,0,,,,,Iridacea bulb,0,0,Iridacea bulb,No suitable matches found.,,0,,,,,, ,
